symbol,preferred_name,alternate_name,first_use,first_kanji,status,notes
甬,甬_family,甬_family,lesson_76,勇,family_anchor,"pass6a harvest; phon_parents=4; right_parents=2; v4_token_parents=0; sample=勇,桶,痛,踊,通; sources=kanjivg,v4"
申,monkey_zodiac,monkey_zodiac_family,lesson_29,電,family_anchor,"pass6a harvest; phon_parents=4; right_parents=5; v4_token_parents=0; sample=伸,坤,榊,神,紳,電; sources=kanjivg,v4"
禺,禺_family,禺_family,lesson_106,偶,family_anchor,"pass6a harvest; phon_parents=4; right_parents=5; v4_token_parents=0; sample=偶,寓,愚,萬,遇,邁,隅; sources=kanjivg,v4"
良,good,good_family,lesson_79,朗,family_anchor,"pass6a harvest; phon_parents=4; right_parents=4; v4_token_parents=0; sample=娘,朗,浪,狼,莨,郎; sources=kanjivg,v4"
虍,虍_family,虍_family,lesson_108,虜,family_anchor,"pass6a harvest; phon_parents=4; right_parents=0; v4_token_parents=0; sample=劇,慮,虚,虜; sources=kanjivg,v4"
蜀,蜀_family,蜀_family,lesson_29,独,family_anchor,"pass6a harvest; phon_parents=4; right_parents=2; v4_token_parents=0; sample=属,濁,燭,独,触; sources=kanjivg,v4"
責,blame,blame_family,lesson_84,績,family_anchor,"pass6a harvest; phon_parents=4; right_parents=5; v4_token_parents=0; sample=債,漬,積,績,蹟; sources=kanjivg,v4"
辰,dragon_zodiac,dragon_zodiac_family,lesson_109,震,family_anchor,"pass6a harvest; phon_parents=4; right_parents=8; v4_token_parents=0; sample=唇,娠,振,晨,濃,膿,賑,農; sources=kanjivg,v4"
重,heavy,heavy_family,lesson_24,童,family_anchor,"pass6a harvest; phon_parents=4; right_parents=3; v4_token_parents=0; sample=動,種,童,腫,衝,鍾; sources=kanjivg,v4"
隹,隹_family,隹_family,lesson_30,唯,family_anchor,"pass6a harvest; phon_parents=4; right_parents=39; v4_token_parents=0; sample=催,准,唯,堆,奪,奮,惟,推; sources=kanjivg,v4"
雚,雚_family,雚_family,lesson_31,歓,family_anchor,"pass6a harvest; phon_parents=4; right_parents=0; v4_token_parents=0; sample=勧,権,歓,観; sources=kanjivg,v4"
丂,丂_family,丂_family,lesson_67,巧,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=巧,朽,考; sources=kanjivg,v4"
丰,丰_family,丰_family,lesson_85,峰,family_anchor,"pass6a harvest; phon_parents=3; right_parents=4; v4_token_parents=0; sample=峰,彗,慧,蜂,邦; sources=kanjivg,v4"
之,of,of_family,lesson_09,寺,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=乏,寺,志,芝; sources=kanjivg,v4"
予,in_advance,in_advance_family,lesson_87,序,family_anchor,"pass6a harvest; phon_parents=3; right_parents=1; v4_token_parents=0; sample=序,野,預; sources=kanjivg,v4"
云,quote,quote_family,lesson_23,転,family_anchor,"pass6a harvest; phon_parents=3; right_parents=10; v4_token_parents=0; sample=会,伝,曇,桧,芸,蔭,藝,転; sources=kanjivg,v4"
亢,亢_family,亢_family,lesson_17,坑,family_anchor,"pass6a harvest; phon_parents=3; right_parents=4; v4_token_parents=0; sample=坑,抗,杭,航; sources=kanjivg,v4"
亦,亦_family,亦_family,lesson_56,夜,family_anchor,"pass6a harvest; phon_parents=3; right_parents=1; v4_token_parents=0; sample=夜,恋,蛮,跡; sources=kanjivg,v4"
付,adhere,adhere_family,lesson_54,符,family_anchor,"pass6a harvest; phon_parents=3; right_parents=3; v4_token_parents=0; sample=府,符,附,鮒; sources=kanjivg,v4"
侖,侖_family,侖_family,lesson_99,論,family_anchor,"pass6a harvest; phon_parents=3; right_parents=4; v4_token_parents=0; sample=倫,綸,論,輪; sources=kanjivg,v4"
公,public,public_family,lesson_43,松,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=松,翁,訟; sources=kanjivg,v4"
共,together,together_family,lesson_97,供,family_anchor,"pass6a harvest; phon_parents=3; right_parents=9; v4_token_parents=0; sample=供,巽,恭,戴,撰,洪,異,糞; sources=kanjivg,v4"
兹,兹_family,兹_family,lesson_75,滋,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=慈,滋,磁; sources=kanjivg,v4"
兼,concurrently,concurrently_family,lesson_87,嫌,family_anchor,"pass6a harvest; phon_parents=3; right_parents=3; v4_token_parents=0; sample=嫌,廉,謙,鎌; sources=kanjivg,v4"
列,file,file_family,lesson_44,裂,family_anchor,"pass6a harvest; phon_parents=3; right_parents=1; v4_token_parents=0; sample=例,烈,裂; sources=kanjivg,v4"
化,change,change_family,lesson_55,花,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=花,貨,靴; sources=kanjivg,v4"
半,half,half_family,lesson_65,伴,family_anchor,"pass6a harvest; phon_parents=3; right_parents=3; v4_token_parents=0; sample=伴,判,畔,絆; sources=kanjivg,v4"
卒,graduate,graduate_family,lesson_07,砕,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=倅,砕,粋,翠,酔; sources=kanjivg,v4"
