kanji,keyword,lesson_number,kml_primitives,cluster_components,collapse_to,layout_type,first_use,notes
肌,texture,4,月|几,月|几,,h,,pass4: harvested L04 HTML (月|几)
旬,ten_days,4,勹|日,勹|日,,ei,,pass2a: e -> ei; pass4: harvested L04 HTML (勹|日)
勺,ladle,4,勹|丶,勹|丶,,ei,,pass2a: e -> ei; pass4: harvested L04 HTML (勹|丶)
的,bulls_eye,4,白|勺,白|勺,,h,,pass4: harvested L04 HTML (白|勺)
首,neck,4,丷|一|自,丷|一|自,,v,,pass4: harvested L04 HTML (丷|一|自)
乙,fish_guts,4,乙,乙,,a,,pass2a: — -> a; pass4: harvested L04 HTML (乙)
乱,riot,4,舌|乚,舌|乚,,h,,pass4: harvested L04 HTML (舌|乚)
直,straightaway,4,十|目,十|目,,v,,pass4: harvested L04 HTML (十|目)
具,tool,4,目|一|ㇵ,目|一|ㇵ,,v,,pass4: harvested L04 HTML (目|一|ㇵ)
真,true,4,十|具,十|具,,v,,pass4: harvested L04 HTML (十|具)
工,craft,5,工,工,,a,,pass2a: — -> a; pass4: harvested L05 HTML (工)
左,left,5,𠂇|エ,𠂇|エ,,h,,pass2a: e -> h; pass4: harvested L05 HTML (𠂇|エ)
右,right,5,𠂇|口,𠂇|口,,h,,pass2a: e -> h; pass4: harvested L05 HTML (𠂇|口)
有,possess,5,𠂇|月,𠂇|月,,h,,pass2a: e -> h; pass4: harvested L05 HTML (𠂇|月)
賄,bribe,5,貝|有,貝|有,,h,,pass4: harvested L05 HTML (貝|有)
貢,tribute,5,エ|貝,エ|貝,,v,,pass4: harvested L05 HTML (エ|貝)
項,paragraph,5,エ|頁,エ|頁,,h,,pass4: harvested L05 HTML (エ|頁)
刀,sword,5,刀,刀,,a,,pass2a: e -> a; pass4: harvested L05 HTML (刀)
刃,blade,5,丶|刀,丶|刀,,h,,pass2a: e -> h; pass4: harvested L05 HTML (丶|刀)
切,cut,5,七|刀,七|刀,,h,,pass4: harvested L05 HTML (七|刀)
召,seduce,5,刀|口,刀|口,,v,,pass4: harvested L05 HTML (刀|口)
昭,shining,5,日|召,日|召,,h,,pass4: harvested L05 HTML (日|召)
則,rule,5,貝|刂,貝|刂,,h,,pass4: harvested L05 HTML (貝|刂)
副,vice,5,畐|刂,畐|刂,,h,,pass4: harvested L05 HTML (畐|刂)
別,separate,5,口|刀|刂,口|刀|刂,,h,,html suggests 2b; pass4: harvested L05 HTML (口|刀|刂)
丁,street,5,丁,丁,,a,,pass2a: v -> a; pass4: harvested L05 HTML (丁)
町,town,5,田|丁,田|丁,,h,,pass4: harvested L05 HTML (田|丁)
可,possible,5,口|丁,口|丁,,h,,pass2a: e -> h; pass4: harvested L05 HTML (口|丁)
頂,top,5,丁|頁,丁|頁,,h,,pass4: harvested L05 HTML (丁|頁)
子,child,153,子,子,,a,,layout_type unknown in source; pass4: harvested L05 HTML (子); pass4: layout — -> a
孔,cavity,6,子|乚,子|乚,,h,,pass4: harvested L06 HTML (子|乚)
了,finish,6,了,了,,a,,pass2a: v -> a; pass4: harvested L06 HTML (了)
女,woman,6,女,女,,a,,pass2a: — -> a; pass4: harvested L06 HTML (女)
好,fond_of,6,女|子,女|子,,h,,pass4: harvested L06 HTML (女|子)
如,likeness,6,女|口,女|口,,h,,pass4: harvested L06 HTML (女|口)
母,mother,6,母,母,,a,,pass2a: — -> a; pass4: harvested L06 HTML (母)
貫,pierce,6,母|貝,母|貝,,v,,pass4: harvested L06 HTML (母|貝)
兄,older_brother,6,口|儿,口|儿,,v,,pass4: harvested L06 HTML (口|儿)
呪,curse,6,口|兄,口|兄,,h,,pass4: harvested L06 HTML (口|兄)
