kanji,joyo_index,radical,strokes,grade,year_added,english_meaning,on_kana,on_romaji,kun_kana,kun_romaji,unicode,svg_file,heisig_number,heisig_keyword
村,1279,木,7,1,,village,ソン,son,むら,mura,u6751,u6751.svg,,
孫,1280,子,10,4,,grandchild,ソン,son,まご,mago,u5b6b,u5b6b.svg,,
尊,1281,寸,12,6,,revered,ソン,son,たっと-い、とうと-い、たっと-ぶ、とうと-ぶ,"tatto-i, tōto-i, tatto-bu, tōto-bu",u5c0a,u5c0a.svg,,
損,1282,手,13,5,,loss,ソン,son,そこ-なう、そこ-ねる,"soko-nau, soko-neru",u640d,u640d.svg,,
遜,1283,辵,14,S,2010,humble,ソン,son,,,u905c,u905c.svg,,
他,1284,人,5,3,,other,タ,ta,ほか,hoka,u4ed6,u4ed6.svg,,
多,1285,夕,6,2,,many,タ,ta,おお-い,oo-i,u591a,u591a.svg,,
汰,1286,水,7,S,2010,luxury,タ,ta,,,u6c70,u6c70.svg,,
打,1287,手,5,3,,hit,ダ,da,う-つ,u-tsu,u6253,u6253.svg,,
妥,1288,女,7,S,,gentle,ダ,da,,,u59a5,u59a5.svg,,
唾,1289,口,11,S,2010,saliva,ダ,da,つば,tsuba,u553e,u553e.svg,,
堕,1290,土,12,S,,degenerate,ダ,da,,,u5815,u5815.svg,,
惰,1291,心,12,S,,lazy,ダ,da,,,u60f0,u60f0.svg,,
駄,1292,馬,14,S,1981,burdensome,ダ,da,,,u99c4,u99c4.svg,,
太,1293,大,4,2,,thick,タイ、タ,"tai, ta",ふと-い、ふと-る,"futo-i, futo-ru",u592a,u592a.svg,,
対,1294,寸,7,3,,opposite,タイ、ツイ,"tai, tsui",,,u5bfe,u5bfe.svg,,
体,1295,骨,7,2,,body,タイ、テイ,"tai, tei",からだ,karada,u4f53,u4f53.svg,,
耐,1296,而,9,S,,resistant,タイ,tai,た-える,ta-eru,u8010,u8010.svg,,
待,1297,彳,9,3,,wait,タイ,tai,ま-つ,ma-tsu,u5f85,u5f85.svg,,
怠,1298,心,9,S,,neglect,タイ,tai,おこた-る、なま-ける,"okota-ru, nama-keru",u6020,u6020.svg,,
胎,1299,肉,9,S,,womb,タイ,tai,,,u80ce,u80ce.svg,,
退,1300,辵,9,6,,retreat,タイ,tai,しりぞ-く、しりぞ-ける,"shirizo-ku, shirizo-keru",u9000,u9000.svg,,
帯,1301,巾,10,4,,sash,タイ,tai,お-びる、おび,"o-biru, obi",u5e2f,u5e2f.svg,,
