kanji,joyo_index,radical,strokes,grade,year_added,english_meaning,on_kana,on_romaji,kun_kana,kun_romaji,unicode,svg_file,heisig_number,heisig_keyword
殿,1482,殳,13,S,,Mr.,デン、テン,"den, ten",との、どの,"tono, dono",u6bbf,u6bbf.svg,,
電,1483,雨,13,2,,electricity,デン,den,,,u96fb,u96fb.svg,,
斗,1484,斗,4,S,,Big Dipper,ト,to,,,u6597,u6597.svg,,
吐,1485,口,6,S,,spit,ト,to,は-く,ha-ku,u5410,u5410.svg,,
妬,1486,女,8,S,2010,jealousy,ト,to,ねた-む,neta-mu,u59ac,u59ac.svg,,
徒,1487,彳,10,4,,junior,ト,to,,,u5f92,u5f92.svg,,
途,1488,辵,10,S,,route,ト,to,,,u9014,u9014.svg,,
都,1489,邑,11,3,,metropolis,ト、ツ,"to, tsu",みやこ,miyako,u90fd,u90fd.svg,,
渡,1490,水,12,S,,transit,ト,to,わた-る、わた-す,"wata-ru, wata-su",u6e21,u6e21.svg,,
塗,1491,土,13,S,,paint,ト,to,ぬ-る,nu-ru,u5857,u5857.svg,,
賭,1492,貝,16,S,2010,gamble,ト,to,か-ける,ka-keru,u8ced,u8ced.svg,,
土,1493,土,3,1,,soil,ド、ト,"do, to",つち,tsuchi,u571f,u571f.svg,,
奴,1494,女,5,S,,guy,ド,do,,,u5974,u5974.svg,,
努,1495,力,7,4,,toil,ド,do,つと-める,tsuto-meru,u52aa,u52aa.svg,,
度,1496,广,9,3,,degrees,ド、（ト）、（タク）,"do, (to), (taku)",たび,tabi,u5ea6,u5ea6.svg,,
怒,1497,心,9,S,,angry,ド,do,いか-る、おこ-る,"ika-ru, oko-ru",u6012,u6012.svg,,
刀,1498,刀,2,2,,sword,トウ,tō,かたな,katana,u5200,u5200.svg,,
冬,1499,冫,5,2,,winter,トウ,tō,ふゆ,fuyu,u51ac,u51ac.svg,,
灯,1500,火,6,4,,lamp,トウ,,ひ,,u706f,u706f.svg,,
当,1501,田,6,2,,hit,トウ,tō,あ-たる、あ-てる,"a-taru, a-teru",u5f53,u5f53.svg,,
投,1502,手,7,3,,throw,トウ,tō,な-げる,na-geru,u6295,u6295.svg,,
豆,1503,豆,7,3,,bean,トウ、（ズ）,"tō, (zu)",まめ,mame,u8c46,u8c46.svg,,
東,1504,木,8,2,,east,トウ,tō,ひがし,higashi,u6771,u6771.svg,,
到,1505,刀,8,S,,arrival,トウ,tō,,,u5230,u5230.svg,,
逃,1506,辵,9,S,,escape,トウ,tō,に-げる、に-がす、のが-す、のが-れる,"ni-geru, ni-gasu, noga-su, noga-reru",u9003,u9003.svg,,
倒,1507,人,10,S,,overthrow,トウ,tō,たお-れる、たお-す,"tao-reru, tao-su",u5012,u5012.svg,,
凍,1508,冫,10,S,,frozen,トウ,tō,こお-る、こご-える,"koo-ru, kogo-eru",u51cd,u51cd.svg,,
唐,1509,口,10,S,,T'ang,トウ,tō,から,kara,u5510,u5510.svg,,
島,1510,山,10,3,,island,トウ,tō,しま,shima,u5cf6,u5cf6.svg,,
桃,1511,木,10,S,,peach tree,トウ,tō,もも,momo,u6843,u6843.svg,,
討,1512,言,10,6,,chastise,トウ,tō,う-つ,u-tsu,u8a0e,u8a0e.svg,,
透,1513,辵,10,S,,transparent,トウ,tō,す-く、す-かす、す-ける,"su-ku, su-kasu, su-keru",u900f,u900f.svg,,
党,1514,黑,10,6,,group,トウ,tō,,,u515a,u515a.svg,,
悼,1515,心,11,S,,lament,トウ,tō,いた-む,ita-mu,u60bc,u60bc.svg,,
盗,1516,皿,11,S,,steal,トウ,tō,ぬす-む,nusu-mu,u76d7,u76d7.svg,,
陶,1517,阜,11,S,,pottery,トウ,tō,,,u9676,u9676.svg,,
塔,1518,土,12,S,,pagoda,トウ,tō,,,u5854,u5854.svg,,
搭,1519,手,12,S,1981,board,トウ,tō,,,u642d,u642d.svg,,
棟,1520,木,12,S,1981,ridgepole,トウ,tō,むね、（むな）,"mune, (muna)",u68df,u68df.svg,,
湯,1521,水,12,3,,hot water,トウ,tō,ゆ,yu,u6e6f,u6e6f.svg,,
痘,1522,疒,12,S,,pox,トウ,tō,,,u75d8,u75d8.svg,,
登,1523,癶,12,3,,climb,トウ、ト,"tō, to",のぼ-る,nobo-ru,u767b,u767b.svg,,
答,1524,竹,12,2,,answer,トウ,tō,こた-える、こた-え,"kota-eru, kota-e",u7b54,u7b54.svg,,
等,1525,竹,12,3,,class,トウ,tō,ひと-しい,hito-shii,u7b49,u7b49.svg,,
筒,1526,竹,12,S,,cylinder,トウ,tō,つつ,tsutsu,u7b52,u7b52.svg,,
統,1527,糸,12,5,,unite,トウ,tō,す-べる,su-beru,u7d71,u7d71.svg,,
稲,1528,禾,14,S,,rice plant,トウ,tō,いね、（いな）,"ine, (ina)",u7a32,u7a32.svg,,
踏,1529,足,15,S,,step,トウ,tō,ふ-む、ふ-まえる,"fu-mu, fu-maeru",u8e0f,u8e0f.svg,,
糖,1530,米,16,6,,sugar,トウ,tō,,,u7cd6,u7cd6.svg,,
頭,1531,頁,16,2,,head,トウ、ズ、（ト）,"tō, zu, (to)",あたま、かしら,"atama, kashira",u982d,u982d.svg,,
謄,1532,言,17,S,,mimeograph,トウ,tō,,,u8b04,u8b04.svg,,
藤,1533,艸,18,S,2010,wisteria,トウ,tō,ふじ,fuji,u85e4,u85e4.svg,,
闘,1534,鬥,18,S,,fight,トウ,tō,たたか-う,tataka-u,u95d8,u95d8.svg,,
騰,1535,馬,20,S,,inflation,トウ,tō,,,u9a30,u9a30.svg,,
同,1536,口,6,2,,same,ドウ,dō,おな-じ,ona-ji,u540c,u540c.svg,,
洞,1537,水,9,S,1981,den,ドウ,dō,ほら,hora,u6d1e,u6d1e.svg,,
胴,1538,肉,10,S,,trunk,ドウ,dō,,,u80f4,u80f4.svg,,
動,1539,力,11,3,,move,ドウ,dō,うご-く、うご-かす,"ugo-ku, ugo-kasu",u52d5,u52d5.svg,,
堂,1540,土,11,5,,public chamber,ドウ,dō,,,u5802,u5802.svg,,
童,1541,立,12,3,,juvenile,ドウ,dō,わらべ,warabe,u7ae5,u7ae5.svg,,
道,1542,辵,12,2,,road,ドウ、（トウ）,"dō, (tō)",みち,michi,u9053,u9053.svg,,
働,1543,人,13,4,,work,ドウ,dō,はたら-く,hatara-ku,u50cd,u50cd.svg,,
銅,1544,金,14,5,,copper,ドウ,dō,,,u9285,u9285.svg,,
導,1545,寸,15,5,,guide,ドウ,dō,みちび-く,michibi-ku,u5c0e,u5c0e.svg,,
瞳,1546,目,17,S,2010,pupil,ドウ,dō,ひとみ,hitomi,u77b3,u77b3.svg,,
峠,1547,山,9,S,,mountain peak,,,とうげ,tōge,u5ce0,u5ce0.svg,,
匿,1548,匸,10,S,,hide,トク,toku,,,u533f,u533f.svg,,
特,1549,牛,10,4,,special,トク,toku,,,u7279,u7279.svg,,
得,1550,彳,11,5,,acquire,トク,toku,え-る、う-る,"e-ru, u-ru",u5f97,u5f97.svg,,
督,1551,目,13,S,,coach,トク,toku,,,u7763,u7763.svg,,
徳,1552,彳,14,4,,benevolence,トク,toku,,,u5fb3,u5fb3.svg,,
篤,1553,竹,16,S,,fervent,トク,toku,,,u7be4,u7be4.svg,,
毒,1554,毋,8,5,,poison,ドク,doku,,,u6bd2,u6bd2.svg,,
独,1555,犬,9,5,,alone,ドク,doku,ひと-り,hito-ri,u72ec,u72ec.svg,,
読,1556,言,14,2,,read,ドク、トク、（トウ）,"doku, toku, (tō)",よ-む,yo-mu,u8aad,u8aad.svg,,
栃,1557,木,9,4,2010,horse chestnut,,,（とち）[6],(tochi),u6803,u6803.svg,,
凸,1558,凵,5,S,1981,convex,トツ,totsu,,,u51f8,u51f8.svg,,
突,1559,穴,8,S,,stab,トツ,totsu,つ-く,tsu-ku,u7a81,u7a81.svg,,
届,1560,尸,8,6,,deliver,,,とど-ける、とど-く,"todo-keru, todo-ku",u5c4a,u5c4a.svg,,
屯,1561,屮,4,S,1981,barracks,トン,ton,,,u5c6f,u5c6f.svg,,
豚,1562,豕,11,S,,pork,トン,ton,ぶた,buta,u8c5a,u8c5a.svg,,
頓,1563,頁,13,S,2010,suddenly,トン,ton,,,u9813,u9813.svg,,
貪,1564,貝,11,S,2010,covet,ドン,don,むさぼ-る,musabo-ru,u8caa,u8caa.svg,,
鈍,1565,金,12,S,,dull,ドン,don,にぶ-い、にぶ-る,"nibu-i, nibu-ru",u920d,u920d.svg,,
曇,1566,日,16,S,,cloudy weather,ドン,don,くも-る,kumo-ru,u66c7,u66c7.svg,,
丼,1567,丶,5,S,2010,bowl of food,,,どんぶり、（どん）,"donburi, (don)",u4e3c,u4e3c.svg,,
那,1568,邑,7,S,2010,what,ナ,na,,,u90a3,u90a3.svg,,
奈,1569,大,8,4,2010,what,ナ,na,,,u5948,u5948.svg,,
内,1570,入,4,2,,inside,ナイ、（ダイ）,"nai, (dai)",うち,uchi,u5185,u5185.svg,,
梨,1571,木,11,4,2010,pear tree,,,なし,nashi,u68a8,u68a8.svg,,
謎,1572,言,17,S,2010,riddle,,,なぞ,nazo,u8b0e,u8b0e.svg,,
鍋,1573,金,17,S,2010,pot,,,なべ,nabe,u934b,u934b.svg,,
南,1574,十,9,2,,south,ナン、（ナ）,"nan, (na)",みなみ,minami,u5357,u5357.svg,,
軟,1575,車,11,S,,soft,ナン,nan,やわ-らか、やわ-らかい,"yawa-raka, yawa-rakai",u8edf,u8edf.svg,,
難,1576,隹,18,6,,difficult,ナン,nan,かた-い、むずか-しい,"kata-i, muzuka-shii",u96e3,u96e3.svg,,
二,1577,二,2,1,,two,ニ,ni,ふた、ふた-つ,"futa, futa-tsu",u4e8c,u4e8c.svg,,
尼,1578,尸,5,S,,nun,ニ,ni,あま,ama,u5c3c,u5c3c.svg,,
弐,1579,貝,6,S,,two (falsification prevention),ニ,ni,,,u5f10,u5f10.svg,,
匂,1580,勹,4,S,2010,scent,,,にお-う,nio-u,u5302,u5302.svg,,
肉,1581,肉,6,2,,meat,ニク,niku,,,u8089,u8089.svg,,
虹,1582,虫,9,S,2010,rainbow,,,にじ,niji,u8679,u8679.svg,,
日,1583,日,4,1,,day,ニチ、ジツ,"nichi, jitsu",ひ、か,"hi, ka",u65e5,u65e5.svg,,
入,1584,入,2,1,,enter,ニュウ,nyū,い-る、い-れる、はい-る,"i-ru, i-reru, hai-ru",u5165,u5165.svg,,
乳,1585,乙,8,6,,milk,ニュウ,nyū,ちち、ち,"chichi, chi",u4e73,u4e73.svg,,
尿,1586,尸,7,S,,urine,ニョウ,nyō,,,u5c3f,u5c3f.svg,,
任,1587,人,6,5,,responsibility,ニン,nin,まか-せる、まか-す,"maka-seru, maka-su",u4efb,u4efb.svg,,
妊,1588,女,7,S,,pregnancy,ニン,nin,,,u598a,u598a.svg,,
忍,1589,心,7,S,,endure,ニン,nin,しの-ぶ、しの-ばせる,"shino-bu, shino-baseru",u5fcd,u5fcd.svg,,
認,1590,言,14,6,,recognize,ニン,nin,みと-める,mito-meru,u8a8d,u8a8d.svg,,
寧,1591,宀,14,S,,rather,ネイ,nei,,,u5be7,u5be7.svg,,
熱,1592,火,15,4,,heat,ネツ,netsu,あつ-い,atsu-i,u71b1,u71b1.svg,,
年,1593,干,6,1,,year,ネン,nen,とし,toshi,u5e74,u5e74.svg,,
念,1594,心,8,4,,thought,ネン,nen,,,u5ff5,u5ff5.svg,,
捻,1595,手,11,S,2010,twist,ネン,nen,,,u637b,u637b.svg,,
粘,1596,米,11,S,,sticky,ネン,nen,ねば-る,neba-ru,u7c98,u7c98.svg,,
燃,1597,火,16,5,,burn,ネン,nen,も-える、も-やす、も-す,"mo-eru, mo-yasu, mo-su",u71c3,u71c3.svg,,
悩,1598,心,10,S,,trouble,ノウ,nō,なや-む、なや-ます,"naya-mu, naya-masu",u60a9,u60a9.svg,,
納,1599,糸,10,6,,settlement,ノウ、（ナッ）、（ナ）、（ナン）、（トウ）,"nō, (na'), (na), (nan), (tō)",おさ-める、おさ-まる,"osa-meru, osa-maru",u7d0d,u7d0d.svg,,
能,1600,肉,10,5,,ability,ノウ,nō,,,u80fd,u80fd.svg,,
脳,1601,肉,11,6,,brain,ノウ,nō,,,u8133,u8133.svg,,
農,1602,辰,13,3,,farming,ノウ,nō,,,u8fb2,u8fb2.svg,,
濃,1603,水,16,S,,concentrated,ノウ,nō,こ-い,ko-i,u6fc3,u6fc3.svg,,
把,1604,手,7,S,1981,grasp,ハ,ha,,,u628a,u628a.svg,,
波,1605,水,8,3,,wave,ハ,ha,なみ,nami,u6ce2,u6ce2.svg,,
派,1606,水,9,6,,sect,ハ,ha,,,u6d3e,u6d3e.svg,,
破,1607,石,10,5,,rend,ハ,ha,やぶ-る、やぶ-れる,"yabu-ru, yabu-reru",u7834,u7834.svg,,
覇,1608,雨,19,S,1981,hegemony,ハ,ha,,,u8987,u8987.svg,,
馬,1609,馬,10,2,,horse,バ,ba,うま、（ま）,"uma, (ma)",u99ac,u99ac.svg,,
婆,1610,女,11,S,,old woman,バ,ba,,,u5a46,u5a46.svg,,
罵,1611,网,15,S,2010,insult,バ,ba,ののし-る,nonoshi-ru,u7f75,u7f75.svg,,
拝,1612,手,8,6,,worship,ハイ,hai,おが-む,oga-mu,u62dd,u62dd.svg,,
杯,1613,木,8,S,,counter for cupfuls,ハイ,hai,さかずき,sakazuki,u676f,u676f.svg,,
背,1614,肉,9,6,,back,ハイ,hai,せ、せい、そむ-く、そむ-ける,"se, sei, somu-ku, somu-keru",u80cc,u80cc.svg,,
肺,1615,肉,9,6,,lungs,ハイ,hai,,,u80ba,u80ba.svg,,
俳,1616,人,10,6,,haiku,ハイ,hai,,,u4ff3,u4ff3.svg,,
配,1617,酉,10,3,,distribute,ハイ,hai,くば-る,kuba-ru,u914d,u914d.svg,,
排,1618,手,11,S,,repudiate,ハイ,hai,,,u6392,u6392.svg,,
敗,1619,攴,11,4,,failure,ハイ,hai,やぶ-れる,yabu-reru,u6557,u6557.svg,,
廃,1620,广,12,S,,abolish,ハイ,hai,すた-れる、すた-る,"suta-reru, suta-ru",u5ec3,u5ec3.svg,,
輩,1621,車,15,S,,comrade,ハイ,hai,,,u8f29,u8f29.svg,,
売,1622,貝,7,2,,sell,バイ,bai,う-る、う-れる,"u-ru, u-reru",u58f2,u58f2.svg,,
倍,1623,人,10,3,,double,バイ,bai,,,u500d,u500d.svg,,
梅,1624,木,10,4,,ume (Japanese apricot),バイ,bai,うめ,ume,u6885,u6885.svg,,
培,1625,土,11,S,,cultivate,バイ,bai,つちか-う,tsuchika-u,u57f9,u57f9.svg,,
陪,1626,阜,11,S,,obeisance,バイ,bai,,,u966a,u966a.svg,,
媒,1627,女,12,S,,mediator,バイ,bai,,,u5a92,u5a92.svg,,
買,1628,貝,12,2,,buy,バイ,bai,か-う,ka-u,u8cb7,u8cb7.svg,,
賠,1629,貝,15,S,,compensation,バイ,bai,,,u8ce0,u8ce0.svg,,
白,1630,白,5,1,,white,ハク、ビャク,"haku, byaku",しろ、（しら）、しろ-い,"shiro, (shira), shiro-i",u767d,u767d.svg,,
伯,1631,人,7,S,,chief,ハク,haku,,,u4f2f,u4f2f.svg,,
拍,1632,手,8,S,,clap,ハク、（ヒョウ）,"haku, (hyō)",,,u62cd,u62cd.svg,,
泊,1633,水,8,S,,overnight,ハク,haku,と-まる、と-める,"to-maru, to-meru",u6cca,u6cca.svg,,
迫,1634,辵,8,S,,urge,ハク,haku,せま-る,sema-ru,u8feb,u8feb.svg,,
剝,1635,刀,10,S,2010,peel,ハク,haku,は-がす、は-ぐ、は-がれる、は-げる,"ha-gasu, ha-gu, ha-gareru, ha-geru",u525d,u525d.svg,,
舶,1636,舟,11,S,,liner,ハク,haku,,,u8236,u8236.svg,,
博,1637,十,12,4,,Dr.,ハク、（バク）,"haku, (baku)",,,u535a,u535a.svg,,
薄,1638,艸,16,S,,dilute,ハク,haku,うす-い、うす-める、うす-まる、うす-らぐ、うす-れる,"usu-i, usu-meru, usu-maru, usu-ragu, usu-reru",u8584,u8584.svg,,
麦,1639,麥,7,2,,wheat,バク,baku,むぎ,mugi,u9ea6,u9ea6.svg,,
漠,1640,水,13,S,1981,vague,バク,baku,,,u6f20,u6f20.svg,,
縛,1641,糸,16,S,,truss,バク,baku,しば-る,shiba-ru,u7e1b,u7e1b.svg,,
爆,1642,火,19,S,,explode,バク,baku,,,u7206,u7206.svg,,
箱,1643,竹,15,3,,box,,,はこ,hako,u7bb1,u7bb1.svg,,
箸,1644,竹,15,S,2010,chopsticks,,,はし,hashi,u7bb8,u7bb8.svg,,
畑,1645,田,9,3,,farm,,,はた、はたけ,"hata, hatake",u7551,u7551.svg,,
肌,1646,肉,6,S,1981,texture,,,はだ,hada,u808c,u808c.svg,,
八,1647,八,2,1,,eight,ハチ,hachi,や、や-つ、やっ-つ、（よう）,"ya, ya-tsu, ya'-tsu, (yō)",u516b,u516b.svg,,
鉢,1648,金,13,S,1981,bowl,ハチ、（ハツ）,"hachi, (hatsu)",,,u9262,u9262.svg,,
発,1649,癶,9,3,,departure,ハツ、ホツ,"hatsu, hotsu",,,u767a,u767a.svg,,
髪,1650,髟,14,S,,hair of the head,ハツ,hatsu,かみ,kami,u9aea,u9aea.svg,,
伐,1651,人,6,S,,fell,バツ,batsu,,,u4f10,u4f10.svg,,
抜,1652,手,7,S,,slip out,バツ,batsu,ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる,"nu-ku, nu-keru, nu-kasu, nu-karu",u629c,u629c.svg,,
罰,1653,网,14,S,,penalty,バツ、バチ,"batsu, bachi",,,u7f70,u7f70.svg,,
閥,1654,門,14,S,,clique,バツ,batsu,,,u95a5,u95a5.svg,,
反,1655,又,4,3,,anti-,ハン、（ホン）、（タン）,"han, (hon), (tan)",そ-る、そ-らす,"so-ru, so-rasu",u53cd,u53cd.svg,,
半,1656,十,5,2,,half,ハン,han,なか-ば,naka-ba,u534a,u534a.svg,,
氾,1657,水,5,S,2010,spread out,ハン,han,,,u6c3e,u6c3e.svg,,
犯,1658,犬,5,5,,crime,ハン,han,おか-す,oka-su,u72af,u72af.svg,,
帆,1659,巾,6,S,,sail,ハン,han,ほ,ho,u5e06,u5e06.svg,,
汎,1660,水,6,S,2010,pan-,ハン,han,,,u6c4e,u6c4e.svg,,
伴,1661,人,7,S,,consort,ハン、バン,"han, ban",ともな-う,tomona-u,u4f34,u4f34.svg,,
判,1662,刀,7,5,,judge,ハン、バン,"han, ban",,,u5224,u5224.svg,,
坂,1663,土,7,3,,slope,ハン,han,さか,saka,u5742,u5742.svg,,
阪,1664,阜,7,4,2010,heights,ハン,han,,,u962a,u962a.svg,,
板,1665,木,8,3,,board,ハン、バン,"han, ban",いた,ita,u677f,u677f.svg,,
版,1666,片,8,5,,printing block,ハン,han,,,u7248,u7248.svg,,
班,1667,玉,10,6,,squad,ハン,han,,,u73ed,u73ed.svg,,
畔,1668,田,10,S,,paddy-ridge,ハン,han,,,u7554,u7554.svg,,
般,1669,舟,10,S,,generally,ハン,han,,,u822c,u822c.svg,,
販,1670,貝,11,S,,marketing,ハン,han,,,u8ca9,u8ca9.svg,,
斑,1671,文,12,S,2010,blemish,ハン,han,,,u6591,u6591.svg,,
飯,1672,食,12,4,,meal,ハン,han,めし,meshi,u98ef,u98ef.svg,,
搬,1673,手,13,S,,conveyor,ハン,han,,,u642c,u642c.svg,,
煩,1674,火,13,S,,anxiety,ハン、（ボン）,"han, (bon)",わずら-う、わずら-わす,"wazura-u, wazura-wasu",u7169,u7169.svg,,
頒,1675,頁,13,S,,partition,ハン,han,,,u9812,u9812.svg,,
範,1676,竹,15,S,,pattern,ハン,han,,,u7bc4,u7bc4.svg,,
繁,1677,糸,16,S,,luxuriant,ハン,han,,,u7e41,u7e41.svg,,
藩,1678,艸,18,S,,clan,ハン,han,,,u85e9,u85e9.svg,,
晩,1679,日,12,6,,nightfall,バン,ban,,,u6669,u6669.svg,,
番,1680,田,12,2,,one's turn,バン,ban,,,u756a,u756a.svg,,
蛮,1681,虫,12,S,,barbarian,バン,ban,,,u86ee,u86ee.svg,,
盤,1682,皿,15,S,,tray,バン,ban,,,u76e4,u76e4.svg,,
比,1683,比,4,5,,compare,ヒ,hi,くら-べる,kura-beru,u6bd4,u6bd4.svg,,
皮,1684,皮,5,3,,skin,ヒ,hi,かわ,kawa,u76ae,u76ae.svg,,
妃,1685,女,6,S,,queen,ヒ,hi,,,u5983,u5983.svg,,
否,1686,口,7,6,,negate,ヒ,hi,いな,ina,u5426,u5426.svg,,
批,1687,手,7,6,,criticism,ヒ,hi,,,u6279,u6279.svg,,
彼,1688,彳,8,S,,he,ヒ,hi,かれ、（かの）,"kare, (kano)",u5f7c,u5f7c.svg,,
披,1689,手,8,S,1981,expose,ヒ,hi,,,u62ab,u62ab.svg,,
肥,1690,肉,8,5,,fertilizer,ヒ,hi,こ-える、こえ、こ-やす、こ-やし,"ko-eru, koe, ko-yasu, ko-yashi",u80a5,u80a5.svg,,
非,1691,非,8,5,,negative,ヒ,hi,,,u975e,u975e.svg,,
卑,1692,十,9,S,,lowly,ヒ,hi,いや-しい、いや-しむ、いや-しめる,"iya-shii, iya-shimu, iya-shimeru",u5351,u5351.svg,,
飛,1693,飛,9,4,,fly,ヒ,hi,と-ぶ、と-ばす,"to-bu, to-basu",u98db,u98db.svg,,
疲,1694,疒,10,S,,exhausted,ヒ,hi,つか-れる,tsuka-reru,u75b2,u75b2.svg,,
秘,1695,示,10,6,,secret,ヒ,hi,ひ-める,hi-meru,u79d8,u79d8.svg,,
被,1696,衣,10,S,,incur,ヒ,hi,こうむ-る,kōmu-ru,u88ab,u88ab.svg,,
悲,1697,心,12,3,,sad,ヒ,hi,かな-しい、かな-しむ,"kana-shii, kana-shimu",u60b2,u60b2.svg,,
扉,1698,戶,12,S,1981,front door,ヒ,hi,とびら,tobira,u6249,u6249.svg,,
費,1699,貝,12,5,,expense,ヒ,hi,つい-やす、つい-える,"tsui-yasu, tsui-eru",u8cbb,u8cbb.svg,,
碑,1700,石,14,S,,tombstone,ヒ,hi,,,u7891,u7891.svg,,
罷,1701,网,15,S,,quit,ヒ,hi,,,u7f77,u7f77.svg,,
避,1702,辵,16,S,,evade,ヒ,hi,さ-ける,sa-keru,u907f,u907f.svg,,
尾,1703,尸,7,S,,tail,ビ,bi,お,o,u5c3e,u5c3e.svg,,
眉,1704,目,9,S,2010,eyebrow,ビ、（ミ）,"bi, (mi)",まゆ,mayu,u7709,u7709.svg,,
美,1705,羊,9,3,,beauty,ビ,bi,うつく-しい,utsuku-shii,u7f8e,u7f8e.svg,,
備,1706,人,12,5,,provide,ビ,bi,そな-える、そな-わる,"sona-eru, sona-waru",u5099,u5099.svg,,
微,1707,彳,13,S,,delicate,ビ,bi,,,u5fae,u5fae.svg,,
鼻,1708,鼻,14,3,,nose,ビ,bi,はな,hana,u9f3b,u9f3b.svg,,
膝,1709,肉,15,S,2010,knee,,,ひざ,hiza,u819d,u819d.svg,,
肘,1710,肉,7,S,2010,elbow,,,ひじ,hiji,u8098,u8098.svg,,
匹,1711,匸,4,S,,equal,ヒツ,hitsu,ひき,hiki,u5339,u5339.svg,,
必,1712,心,5,4,,without fail,ヒツ,hitsu,かなら-ず,kanara-zu,u5fc5,u5fc5.svg,,
泌,1713,水,8,S,,ooze,ヒツ、ヒ,"hitsu, hi",,,u6ccc,u6ccc.svg,,
筆,1714,竹,12,3,,writing brush,ヒツ,hitsu,ふで,fude,u7b46,u7b46.svg,,
姫,1715,女,10,S,,princess,,,ひめ,hime,u59eb,u59eb.svg,,
百,1716,白,6,1,,hundred,ヒャク,hyaku,,,u767e,u767e.svg,,
氷,1717,水,5,3,,ice,ヒョウ,hyō,こおり、ひ,"koori, hi",u6c37,u6c37.svg,,
表,1718,衣,8,3,,express,ヒョウ,hyō,おもて、あらわ-す、あらわ-れる,"omote, arawa-su, arawa-reru",u8868,u8868.svg,,
俵,1719,人,10,6,,bag,ヒョウ,hyō,たわら,tawara,u4ff5,u4ff5.svg,,
票,1720,示,11,4,,ballot,ヒョウ,hyō,,,u7968,u7968.svg,,
評,1721,言,12,5,,evaluate,ヒョウ,hyō,,,u8a55,u8a55.svg,,
漂,1722,水,14,S,,drift,ヒョウ,hyō,ただよ-う,tadayo-u,u6f02,u6f02.svg,,
標,1723,木,15,4,,signpost,ヒョウ,hyō,,,u6a19,u6a19.svg,,
苗,1724,艸,8,S,,seedling,ビョウ,byō,なえ、（なわ）,"nae, (nawa)",u82d7,u82d7.svg,,
秒,1725,禾,9,3,,second (part of time),ビョウ,byō,,,u79d2,u79d2.svg,,
病,1726,疒,10,3,,sick,ビョウ、（ヘイ）,"byō, (hei)",や-む、やまい,"ya-mu, yamai",u75c5,u75c5.svg,,
描,1727,手,11,S,,sketch,ビョウ,byō,えが-く、か-く,"ega-ku, ka-ku",u63cf,u63cf.svg,,
猫,1728,犬,11,S,1981,cat,ビョウ,byō,ねこ,neko,u732b,u732b.svg,,
品,1729,口,9,3,,article,ヒン,hin,しな,shina,u54c1,u54c1.svg,,
浜,1730,水,10,S,,seacoast,ヒン,hin,はま,hama,u6d5c,u6d5c.svg,,
貧,1731,貝,11,5,,poor,ヒン、ビン,"hin, bin",まず-しい,mazu-shii,u8ca7,u8ca7.svg,,
賓,1732,貝,15,S,,V.I.P.,ヒン,hin,,,u8cd3,u8cd3.svg,,
頻,1733,頁,17,S,1981,repeatedly,ヒン,hin,,,u983b,u983b.svg,,
敏,1734,攴,10,S,,cleverness,ビン,bin,,,u654f,u654f.svg,,
瓶,1735,瓦,11,S,1981,flower pot,ビン,bin,,,u74f6,u74f6.svg,,
不,1736,一,4,4,,non-,フ、ブ,"fu, bu",,,u4e0d,u4e0d.svg,,
夫,1737,大,4,4,,husband,フ、（フウ）,"fu, (fū)",おっと,otto,u592b,u592b.svg,,
父,1738,父,4,2,,father,フ,fu,ちち,chichi,u7236,u7236.svg,,
付,1739,人,5,4,,attach,フ,fu,つ-ける、つ-く,"tsu-keru, tsu-ku",u4ed8,u4ed8.svg,,
布,1740,巾,5,5,,linen,フ,fu,ぬの,nuno,u5e03,u5e03.svg,,
扶,1741,手,7,S,,aid,フ,fu,,,u6276,u6276.svg,,
府,1742,广,8,4,,urban prefecture,フ,fu,,,u5e9c,u5e9c.svg,,
怖,1743,心,8,S,,dreadful,フ,fu,こわ-い,kowa-i,u6016,u6016.svg,,
阜,1744,阜,8,4,2010,mound,（フ）[6],(fu),,,u961c,u961c.svg,,
附,1745,阜,8,S,,affixed,フ,fu,,,u9644,u9644.svg,,
訃,1746,言,9,S,2010,obituary,フ,fu,,,u8a03,u8a03.svg,,
負,1747,貝,9,3,,lose,フ,fu,ま-ける、ま-かす、お-う,"ma-keru, ma-kasu, o-u",u8ca0,u8ca0.svg,,
赴,1748,走,9,S,,proceed,フ,fu,おもむ-く,omomu-ku,u8d74,u8d74.svg,,
浮,1749,水,10,S,,floating,フ,fu,う-く、う-かれる、う-かぶ、う-かべる,"u-ku, u-kareru, u-kabu, u-kaberu",u6d6e,u6d6e.svg,,
婦,1750,女,11,5,,lady,フ,fu,,,u5a66,u5a66.svg,,
符,1751,竹,11,S,,token,フ,fu,,,u7b26,u7b26.svg,,
富,1752,宀,12,4,,rich,フ、（フウ）,"fu, (fū)",と-む、とみ,"to-mu, tomi",u5bcc,u5bcc.svg,,
普,1753,日,12,S,,universal,フ,fu,,,u666e,u666e.svg,,
腐,1754,肉,14,S,,rot,フ,fu,くさ-る、くさ-れる、くさ-らす,"kusa-ru, kusa-reru, kusa-rasu",u8150,u8150.svg,,
敷,1755,攴,15,S,,spread,フ,fu,し-く,shi-ku,u6577,u6577.svg,,
膚,1756,肉,15,S,,skin,フ,fu,,,u819a,u819a.svg,,
