kanji,keyword,lesson_number,kml_primitives,cluster_components,collapse_to,layout_type,first_use,notes
封,seal,9,,,,h,,
涯,horizon,9,,,,h,,
寺,temple,9,,,,v,,
時,time,9,,,,h,,
均,level,9,,,,h,,
火,fire,9,,,,a,,pass2a: v -> a
炎,inflammation,9,,,,v,,
煩,anxiety,9,,,,h,,
淡,faint,9,,,,h,,
灯,lamp,9,,,,h,,
畑,farm,9,,,,h,,
災,disaster,9,,,,v,,
灰,ashes,10,,,,ei,,pass2a: e -> ei
点,point,10,,,,v,,
照,illuminate,10,,,,v,,
魚,fish,10,,,,v,,
漁,fishing,10,,,,h,,
里,home_village,10,,,,v,,
黒,black,10,,,,v,,
墨,black_ink,10,,,,v,,
鯉,carp,10,,,,h,,
量,quantity,10,,,,v,,
厘,thousandth,10,,,,ei,,pass2a: e -> ei
埋,bury,10,,,,h,,
同,same,10,,,,e,,
洞,den,10,,,,h,,
胴,trunk,10,,,,h,,
向,yonder,10,,,,a,,pass2a: e -> a
尚,esteem,10,,,,a,,pass2a: v -> a
字,letter,10,,,,v,,
守,guard,10,,,,v,,
完,complete,10,,,,v,,
宣,proclaim,11,,,,v,,
宵,early_morning,11,,,,v,,
安,relax,11,,,,v,,
宴,banquet,11,,,,v,,
寄,draw_near,11,,,,v,,
富,wealth,11,,,,v,,
貯,savings,11,,,,2r,,pass2a: h -> 2r
木,tree,11,,,,a,,pass2a: — -> a
林,woods,11,,,,h,,
森,forest,11,,,,2t,,pass2a: v -> 2t
桂,judas_tree,11,,,,h,,
柏,oak,11,,,,h,,
枠,frame,11,,,,2r,,pass2a: h -> 2r
梢,treetops,11,,,,h,,
棚,shelf,11,,,,h,,
杏,apricot,11,,,,v,,
桐,paulownia_tree,11,,,,h,,
植,plant,11,,,,h,,
椅,chair,11,,,,h,,
枯,wither,11,,,,h,,
朴,crude,12,,,,h,,
村,village,12,,,,h,,
相,mutual,12,,,,h,,
机,desk,12,,,,h,,
本,book,12,,,,a,,pass2a: — -> a
札,tag,12,,,,h,,
暦,calendar,12,,,,h,,pass2a: e -> h
案,plan,12,,,,v,,
燥,parch,12,,,,2r,,pass2a: h -> 2r
未,not_yet,153,,,,,,layout_type unknown in source
末,extremity,12,,,,a,,pass2a: — -> a
昧,obscure,12,,,,h,,
沫,splash,12,,,,h,,
味,flavor,12,,,,h,,
妹,younger_sister,12,,,,h,,
朱,vermilion,12,,,,h,,pass2a: — -> h
株,stocks,12,,,,h,,
若,young,12,,,,v,,
草,grass,12,,,,v,,
苦,suffering,12,,,,v,,
苛,bullying,13,,,,v,,
寛,tolerant,13,,,,v,,
薄,dilute,13,,,,2r,,pass2a: v -> 2r
葉,leaf,13,,,,v,,
模,imitation,13,,,,2r,,pass2a: h -> 2r
漠,vague,13,,,,2r,,pass2a: h -> 2r
墓,grave,13,,,,v,,
暮,livelihood,13,,,,v,,
膜,membrane,13,,,,2r,,pass2a: h -> 2r
苗,seedling,13,,,,v,,
兆,portent,13,,,,a,,pass2a: — -> a
桃,peach_tree,13,,,,h,,
眺,stare,13,,,,h,,
犬,dog,13,,,,h,,pass2a: — -> h
状,status_quo,13,,,,h,,
黙,silence,13,,,,2t,,pass2a: v -> 2t
然,sort_of_thing,13,,,,2t,,pass2a: v -> 2t
荻,reed,13,,,,2t,,pass2a: v -> 2t
狩,hunt,13,,,,h,,
猫,cat,13,,,,h,,
牛,cow,14,,,,a,,pass2a: — -> a
特,special,14,,,,h,,
告,revelation,14,,,,v,,
先,previous,14,,,,v,,
洗,wash,14,,,,h,,
介,jammed_in,14,,,,a,,pass2a: v -> a
界,world,14,,,,v,,
茶,tea,14,,,,v,,
脊,stature,14,,,,v,,
合,fit,14,,,,v,,
塔,pagoda,14,,,,2r,,pass2a: h -> 2r
王,king,14,,,,a,,pass2a: v -> a
玉,ball,14,,,,v,,pass2a: e -> v
宝,treasure,14,,,,v,,
珠,pearl,14,,,,h,,
現,present,14,,,,h,,
玩,toy_with,14,,,,h,,
狂,lunatic,14,,,,h,,
旺,flourishing,14,,,,h,,
皇,emperor,14,,,,v,,
呈,display,15,,,,v,,
全,whole,15,,,,v,,
栓,plug,15,,,,h,,
理,logic,15,,,,h,,
主,master,15,,,,v,,
注,pour,15,,,,h,,
柱,pillar,15,,,,h,,
金,gold,15,,,,a,,pass2a: v -> a
銑,pig_iron,15,,,,h,,
鉢,bowl,15,,,,h,,
銅,copper,15,,,,h,,
釣,angling,15,,,,h,,
針,needle,15,,,,h,,
銘,inscription,15,,,,h,,
鎮,tranquilize,15,,,,h,,
道,road,15,,,,ei,,pass2a: e -> ei
導,guidance,15,,,,v,,
辻,crossing,15,,,,ei,,pass2a: e -> ei
迅,swift,15,,,,ei,,pass2a: e -> ei
造,create,15,,,,ei,,pass2a: e -> ei
迫,urge,16,,,,ei,,pass2a: e -> ei
逃,escape,16,,,,ei,,pass2a: e -> ei
辺,environs,16,,,,ei,,pass2a: e -> ei
巡,patrol,16,,,,ei,,pass2a: e -> ei
車,car,16,,,,a,,pass2a: — -> a
連,take_along,16,,,,ei,,pass2a: e -> ei
軌,rut,16,,,,h,,
輸,transport,16,,,,h,,
喩,metaphor,16,,,,h,,
前,in_front,16,,,,2t,,pass2a: v -> 2t
煎,roast,16,,,,v,,
各,each,16,,,,v,,
格,status,16,,,,h,,
賂,graft,16,,,,h,,
略,abbreviation,16,,,,h,,
客,guest,16,,,,v,,
額,amount,16,,,,h,,
夏,summer,16,,,,v,,
処,dispose,16,,,,h,,pass2a: e -> h
条,clause,16,,,,v,,
落,fall,17,,,,2t,,pass2a: v -> 2t
冗,superfluous,17,,,,v,,
冥,hades,17,,,,v,,
軍,army,17,,,,v,,
輝,radiance,17,,,,h,,
運,carry,17,,,,ei,,pass2a: e -> ei
冠,crown,17,,,,2t,,pass2a: v -> 2t
夢,dream,17,,,,v,,
坑,pit,17,,,,2r,,pass2a: h -> 2r
高,tall,17,,,,v,,
享,receive,17,,,,v,,
塾,cram_school,17,,,,2t,,pass2a: v -> 2t
熟,ripe,17,,,,2t,,pass2a: v -> 2t
亭,pavilion,17,,,,v,,
京,capital,17,,,,v,,
涼,refreshing,17,,,,h,,
景,scenery,17,,,,v,,
鯨,whale,17,,,,h,,
舎,cottage,17,,,,v,,
周,circumference,17,,,,ei,,pass2a: e -> ei
週,week,18,,,,ei,,pass2a: e -> ei
士,gentleman,18,,,,a,,pass2a: v -> a
吉,good_luck,18,,,,v,,
壮,robust,18,,,,h,,
荘,villa,18,,,,v,,
売,sell,18,,,,v,,
学,study,18,,,,v,,
覚,memorize,18,,,,v,,
栄,flourish,18,,,,v,,
書,write,18,,,,v,,
津,haven,18,,,,h,,
牧,breed,18,,,,h,,
攻,aggression,18,,,,h,,
敗,failure,18,,,,h,,
枚,sheet_of,18,,,,h,,
故,happenstance,18,,,,h,,
敬,awe,18,,,,h,,html suggests 2b
言,say,18,,,,a,,pass2a: — -> a
警,admonish,18,,,,2t,,pass2a: v -> 2t
計,plot,18,,,,h,,
詮,elucidate,19,,,,h,,
獄,prison,19,,,,h,,
訂,revise,19,,,,h,,
訃,obituary,19,,,,h,,
討,chastise,19,,,,h,,
訓,instruction,19,,,,h,,
詔,imperial_edict,19,,,,h,,
詰,packed,19,,,,h,,
話,talk,19,,,,h,,
詠,recitation,19,,,,h,,
詩,poem,19,,,,h,,
語,language,19,,,,h,,
読,read,19,,,,h,,
調,tune,19,,,,h,,
談,discuss,19,,,,h,,
諾,consent,19,,,,h,,
諭,rebuke,19,,,,h,,
式,style,19,,,,h,,pass2a: e -> h
試,test,19,,,,h,,
弐,formal_two,19,,,,h,,pass2a: — -> h
域,range,20,,,,h,,
賊,burglar,20,,,,h,,
栽,plantation,20,,,,h,,pass2a: e -> h
載,load,20,,,,h,,pass2a: e -> h
茂,overgrown,20,,,,v,,
戚,relatives,20,,,,v,,pass2a: e -> v
成,become,20,,,,v,,pass2a: e -> v
城,castle,20,,,,h,,
誠,sincerity,20,,,,h,,
威,intimidate,20,,,,h,,pass2a: e -> h
滅,destroy,20,,,,h,,
減,dwindle,20,,,,h,,
蔑,disdain,20,,,,v,,
桟,scaffold,20,,,,h,,
銭,coin,20,,,,h,,
浅,shallow,20,,,,h,,
止,stop,20,,,,a,,pass2a: — -> a
歩,walk,20,,,,v,,
渉,ford,20,,,,h,,
頻,repeatedly,20,,,,h,,
肯,agreement,21,,,,v,,
企,undertake,21,,,,v,,
歴,curriculum,21,,,,h,,pass2a: e -> h
武,warrior,21,,,,h,,pass2a: e -> h
賦,levy,21,,,,h,,
正,correct,21,,,,a,,pass2a: v -> a
証,evidence,21,,,,h,,
政,politics,21,,,,h,,
定,determine,21,,,,v,,
錠,lock,21,,,,h,,
走,run,21,,,,v,,
超,transcend,21,,,,h,,pass2a: e -> h
赴,proceed,21,,,,h,,pass2a: e -> h
越,surpass,21,,,,h,,pass2a: e -> h
是,just_so,21,,,,v,,
題,topic,21,,,,h,,pass2a: e -> h
堤,dike,21,,,,h,,
建,build,21,,,,h,,pass2a: e -> h
鍵,key,21,,,,h,,
延,prolong,21,,,,h,,pass2a: e -> h
誕,nativity,22,,,,h,,
礎,cornerstone,22,,,,h,,
婿,bridegroom,22,,,,2r,,pass2a: h -> 2r
衣,garment,22,,,,v,,
裁,judge,22,,,,2l,,pass2a: e -> 2l
装,attire,22,,,,v,,
裏,reverse_side,22,,,,v,,
壊,demolition,22,,,,2r,,pass2a: h -> 2r
哀,pathetic,22,,,,v,,
遠,far,22,,,,h,,pass2a: e -> h
猿,monkey,22,,,,h,,
初,first_time,22,,,,h,,
巾,towel,22,,,,a,,pass2a: — -> a
布,linen,22,,,,h,,pass2a: e -> h
帆,sail,22,,,,h,,
幅,breadth,22,,,,h,,
帽,cap,22,,,,h,,
幕,curtain,22,,,,v,,
幌,canopy,22,,,,2r,,pass2a: h -> 2r
錦,brocade,22,,,,2r,,pass2a: h -> 2r
市,market,23,,,,v,,
柿,persimmon,23,,,,h,,
姉,older_sister,23,,,,h,,
肺,lungs,23,,,,h,,
帯,sash,23,,,,v,,
滞,stagnate,23,,,,h,,
刺,thorn,23,,,,h,,
制,control,23,,,,h,,
製,made_in,23,,,,v,,
転,revolve,23,,,,h,,
芸,art,23,,,,v,,
雨,rain,23,,,,v,,
雲,cloud,23,,,,v,,
曇,cloudy_weather,23,,,,v,,
雷,thunder,23,,,,v,,
霜,frost,23,,,,v,,
冬,winter,23,,,,v,,
天,heaven,23,,,,v,,
妖,bewitched,23,,,,h,,
沃,fertile,23,,,,h,,
橋,bridge,24,,,,h,,
嬌,attractive,24,,,,h,,
立,stand_up,24,,,,v,,
泣,cry,24,,,,h,,
章,chapter,24,,,,v,,
競,compete,24,,,,h,,
帝,sovereign,24,,,,v,,
諦,renunciation,24,,,,h,,
童,juvenile,24,,,,v,,
瞳,pupil,24,,,,h,,
鐘,bell,24,,,,h,,
商,deal,24,,,,v,,
嫡,legitimate_wife,24,,,,h,,
適,suitable,24,,,,e,,
滴,drip,24,,,,h,,
敵,enemy,24,,,,h,,
匕,spoon,24,,,,e,,
叱,scold,24,,,,h,,
匂,scent,24,,,,e,,
頃,about_that_time,24,,,,h,,
北,north,25,,,,h,,
