kanji,heisig_number,heisig_keyword,heisig_components,kml_primitives,primitive_count,cluster_components,collapse_to
憎,673,hate,Freud; state of mind; increase; formerly; horns; rice field; brains; sun;horns; field; sun,3,,hate,
慣,674,accustomed,Freud; state of mind; pierce; mother; breasts; shellfish; clam; oyster; eye; animal legs; eight,女|体|貝|目|legs|split,6,accustomed,
愉,675,pleasure,Freud; state of mind; meeting; umbrella; butchers; moon; sword; sabre; saber,月,2,pleasure,
惰,676,lazy,Freud; state of mind; left-handed; left; by one’s side; craft; moon,月,2,lazy,
慎,677,humility,Freud; state of mind; true; truth; ten; needle; eye; tool; animal legs; eight,十|目|legs|split,4,humility,
憾,678,remorse,Freud; state of mind; emotion; march; mouth; heart,口,1,remorse,
憶,679,recollection,Freud; state of mind; idea; sound; vase; stand up; sun; heart,日,1,recollection,
惧,680,disquieting,,,0,disquieting,
憧,681,yearn,Freud; state of mind; juvenile; vase; stand up; computer,,0,yearn,
憬,682,hanker,,,0,hanker,
慕,683,pining,graveyard; flowers; sun; large; St. Bernard; valentine,日,1,pining,
添,684,annexed,water; water droplets; water pistol; heavens; valentine,水,1,annexed,
必,685,invariably,heart; stick; drop; fishhook,丶,1,invariably,
泌,686,ooze,water; water droplets; water pistol; invariably; heart; stick; drop; fishhook,水|丶,2,ooze,
手,687,hand,,,0,hand,
看,688,watch over,hand; eye,目,1,watch over,
摩,689,chafe,hemp; cave; grove; tree; wood; hand,木,1,chafe,
我,690,ego,hand; fiesta,,0,ego,
義,691,righteousness,sheep; ego; hand; fiesta,,0,righteousness,
議,692,deliberation,say; words; keitai; mouth; righteousness; sheep; ego; hand; fiesta,口,1,deliberation,
犠,693,sacrifice,cow; righteousness; sheep; ego; hand; fiesta,,0,sacrifice,
抹,694,rub,finger; fingers; extremity; one; tree; wood,一|木,2,rub,
拭,695,wipe,finger; fingers; style; arrow; craft,,0,wipe,
拉,696,yank,,,0,yank,
抱,697,embrace,finger; fingers; wrap; bound up; snake; self,,0,embrace,
搭,698,board,finger; fingers; flowers; fit; meeting; umbrella; one; mouth,一|口,2,board,
抄,699,extract,finger; fingers; few,,0,extract,
抗,700,confront,finger; fingers; whirlwind; top hat; wind,lid,1,confront,
批,701,criticism,finger; fingers; compare; spoon; sitting on the ground,,0,criticism,
招,702,beckon,finger; fingers; summon; seduce; sword; dagger; mouth,口,1,beckon,
拓,703,clear the land,finger; fingers; stone; rock,石,1,clear the land,
拍,704,clap,finger; fingers; white; dove,,0,clap,
打,705,strike,finger; fingers; street; nail; spike,,0,strike,
拘,706,arrest,finger; fingers; phrase; bound up; mouth,口,1,arrest,
捨,707,discard,finger; fingers; cottage; little-thatch; umbrella; lidded crock; earthenware jar; soil; dirt; ground; mouth,土|口,2,discard,
拐,708,kidnap,finger; fingers; mouth; sword; dagger,口,1,kidnap,
摘,709,pinch,finger; fingers; antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth,十|口,2,pinch,
挑,710,challenge,finger; fingers; turtle; portent,,0,challenge,
指,711,finger,fingers; delicious; spoon; sitting on the ground; sun;sun,1,,finger,
持,712,hold,finger; fingers; Buddhist temple; soil; dirt; ground; glue,土,1,hold,
拶,713,imminent,finger; fingers; stream; flood; evening,evening,1,imminent,
括,714,fasten,finger; fingers; tongue; thousand; mouth,口,1,fasten,
揮,715,brandish,finger; fingers; army; chariot; crown; car; vehicle,,0,brandish,
推,716,conjecture,finger; fingers; turkey,,0,conjecture,
揚,717,hoist,finger; fingers; piggy bank; sun; piglets,日,1,hoist,
提,718,propose,finger; fingers; just so; sun; mend,日,1,propose,
損,719,damage,finger; fingers; employee; mouth; shellfish; clam; oyster; eye; animal legs; eight,口|貝|目|legs|split,5,damage,
拾,720,pick up,finger; fingers; fit; meeting; umbrella; one; mouth,一|口,2,pick up,
担,721,shouldering,finger; fingers; nightbreak; sun; one; floor,日|一,2,shouldering,
拠,722,foothold,finger; fingers; dispose; walking legs; wind,,0,foothold,
描,723,sketch,finger; fingers; seedlings; flowers; rice field; brains,田,1,sketch,
操,724,maneuver,finger; fingers; wooden goods; furniture; goods; mouth; tree; wood,口|木,2,maneuver,
接,725,touch,finger; fingers; concubine; vase; stand up; woman,女,1,touch,
掲,726,put up a notice,put up (a notice); finger; fingers; mexican bandit; muchacho; siesta; sun; aroma; bound up; spoon; sitting on the ground,日,1,put up a notice,
掛,727,hang,finger; fingers; ivy; square jewel; soil; dirt; ground; magic wand; augury,土,1,hang,
捗,728,make headway,finger; fingers; walk; stop; footprint; few,,0,make headway,
研,729,polish,stone; rock; two hands,石,1,polish,
戒,730,commandment,two hands; fiesta,,0,commandment,
弄,731,tinker with,king; jewel; ball; two hands,ball,1,tinker with,
械,732,contraption,tree; wood; commandments; two hands; fiesta,木,1,contraption,
鼻,733,nose,drop; eye; rice field; brains; two hands,丶|目|田,3,nose,
刑,734,punish,two hands; sword; sabre; saber,,0,punish,
型,735,mould,punish; two hands; sword; sabre; saber; soil; dirt; ground,土,1,mould,
才,736,genius,genie,,0,genius,
財,737,property,shell; genie,貝|目|legs|split,4,property,
材,738,lumber,tree; wood; genie,木,1,lumber,
存,739,suppose,genie; child,子,1,suppose,
在,740,exist,genie; soil; dirt; ground,土,1,exist,
乃,741,from,fist,,0,from,
携,742,portable,finger; fingers; turkey; fist; from,,0,portable,
及,743,reach out,fist; from; drop,丶,1,reach out,
吸,744,suck,mouth; reach out,口,1,suck,
扱,745,handle,finger; fingers; reach out,,0,handle,
丈,746,length,stick; tucked under the arm,,0,length,
史,747,history,mouth; tucked under the arm,口,1,history,
吏,748,officer,history; length; stick; one; mouth; tucked under the arm,一|口,2,officer,
更,749,grow late,Ameratasu; one; ceiling; sun; tucked under the arm,一|日,2,grow late,
硬,750,stiff,stone; rock; grow late; Ameratasu; one; ceiling; sun; tucked under the arm,石|一|日,3,stiff,
梗,751,spiny,tree; wood; grow late; Ameratasu; one; ceiling; sun; tucked under the arm,木|一|日,3,spiny,
又,752,or again,crotch,,0,or again,
双,753,pair,crotch,,0,pair,
桑,754,mulberry,crotch; tree; wood,木,1,mulberry,
隻,755,vessels,turkey; crotch,,0,vessels,
護,756,safeguard,say; words; keitai; mouth; radio caroline; flowers; vessels; turkey; crotch,口,1,safeguard,
獲,757,seize,pack of wild dogs; radio caroline; flowers; vessels; turkey; crotch,,0,seize,
奴,758,guy,woman; crotch,女,1,guy,
怒,759,angry,guy; woman; crotch; heart,女,1,angry,
友,760,friend,by one’s side; crotch,,0,friend,
抜,761,slip out,finger; fingers; friend; woman; crotch,女,1,slip out,
投,762,throw,finger; fingers; cruise missile; missile; wind; crotch,,0,throw,
没,763,drown,water; water droplets; water pistol; cruise missile; missile; wind; crotch,水,1,drown,
股,764,thigh,moon; cruise missile; missile; wind; crotch,月,2,thigh,
設,765,establishment,say; words; keitai; mouth; cruise missile; missile; wind; crotch,口,1,establishment,
撃,766,beat,tank; car; cruise missile; missile; wind; crotch; hand,,0,beat,
殻,767,husk,samurai; superfluous; crown; wind; cruise missile; missile; wind; crotch,,0,husk,
支,768,branch,ten; needle; crotch,十,1,branch,
技,769,skill,finger; fingers; branch; ten; needle; crotch,十,1,skill,
枝,770,bough,tree; wood; branch; ten; needle; crotch,木|十,2,bough,
肢,771,limb,moon; branch; ten; needle; crotch,月|十,3,limb,
茎,772,stalk,flowers; spool; clod; toilet paper; crotch; soil; dirt; ground,土,1,stalk,
怪,773,suspicious,Freud; state of mind; spool; clod; toilet paper; crotch; soil; dirt; ground,土,1,suspicious,
軽,774,lightly,car; spool; clod; toilet paper; crotch; soil; dirt; ground,土,1,lightly,
叔,775,uncle,above; small; little; crotch,小,1,uncle,
督,776,coach,uncle; above; small; little; crotch; eye,小|目,2,coach,
寂,777,loneliness,house; uncle; above; small; little; crotch,小,1,loneliness,
淑,778,graceful,water; water droplets; water pistol; uncle; above; small; little; crotch,水|小,2,graceful,
反,779,anti-,demonstation; cliff; crotch,cliff,1,anti-,
坂,780,slope,soil; dirt; ground; anti-; demonstration; cliff; crotch,土|cliff,2,slope,
板,781,plank,tree; wood; anti-; demonstration; cliff; crotch,木|cliff,2,plank,
返,782,return,anti-; demonstration; cliff; crotch; road,cliff,1,return,
販,783,marketing,shell; anti-; demonstration; cliff; crotch,貝|目|legs|split|cliff,5,marketing,
爪,784,claw,vulture,,0,claw,
妥,785,gentle,claw; vulture; woman,女,1,gentle,
乳,786,milk,fledgling; claw; vulture; child; fishhook,子,1,milk,
浮,787,floating,water; water droplets; water pistol; fledgling; claw; vulture; child,水|子,2,floating,
淫,788,lewd,water; water droplets; water pistol; claw; vulture; porter; drop; samurai,水|丶,2,lewd,
将,789,leader,turtle; claw; vulture; glue,,0,leader,
奨,790,exhort,leader; turtle; claw; vulture; glue; large; St. Bernard,,0,exhort,
采,791,grab,claw; vulture; tree; wood,木,1,grab,
採,792,pick,finger; fingers; grab; claw; vulture; tree; wood,木,1,pick,
菜,793,vegetable,flowers; grab; claw; vulture; tree; wood,木,1,vegetable,
受,794,accept,birdhouse; birdcage; claw; vulture; crown; crotch,,0,accept,
授,795,impart,finger; fingers; accept; birdhouse; birdcage; claw; vulture; crown; crotch,,0,impart,
愛,796,love,birdhouse; birdcage; claw; vulture; crown; love birds; heart; walking legs,,0,love,
曖,797,unclear,sun; love; birdhouse; birdcage; claw; vulture; crown; love birds; heart; walking legs,日,1,unclear,
払,798,pay,finger; fingers; elbow,,0,pay,
広,799,wide,cave; elbow,,0,wide,
勾,800,hooked,bound up; elbow,,0,hooked,
拡,801,broaden,finger; fingers; wide; cave; elbow,,0,broaden,
鉱,802,mineral,metal; gold; wide; cave; elbow,金,1,mineral,
弁,803,valve,elbow; two hands,,0,valve,
雄,804,male,Yamanote; by one’s side; elbow; turkey,,0,male,
台,805,pedestal,elbow; mouth,口,1,pedestal,
怠,806,neglect,pedestal; elbow; mouth; heart,口,1,neglect,
治,807,reign,water; water droplets; water pistol; pedestal; elbow; mouth,水|口,2,reign,
冶,808,metallurgy,ice; pedestal; elbow; mouth,口,1,metallurgy,
始,809,commence,woman; pedestal; elbow; mouth,女|口,2,commence,
胎,810,womb,moon; pedestal; elbow; mouth,月|口,3,womb,
窓,811,window,hole; house; human legs; elbow; heart,legs,1,window,
去,812,gone,soil; dirt; ground; elbow,土,1,gone,
法,813,method,water; water droplets; water pistol; gone; soil; dirt; ground; elbow,水|土,2,method,
会,814,meeting,one; wall; umbrella; rising cloud; two; elbow; wall,一,1,meeting,
至,815,climax,wall; one; ceiling; elbow; soil; dirt; ground,一|土,2,climax,
室,816,room,house; climax; wall; one; ceiling; elbow; soil; dirt; ground,一|土,2,room,
到,817,arrival,climax; wall; one; ceiling; elbow; soil; dirt; ground; sword; sabre; saber,一|土,2,arrival,
致,818,doth,climax; wall; one; ceiling; elbow; soil; dirt; ground; taskmaster,一|土,2,doth,
互,819,mutually,one; ceiling; one; floor,一,1,mutually,
棄,820,abandon,infant; toddler; top hat; elbow; buckle; tree; wood,lid|木,2,abandon,
育,821,bring up,infant; toddler; top hat; elbow; moon,lid|月,3,bring up,
撤,822,remove,finger; fingers; borstal; bring up; infant; toddler; top hat; elbow; moon; taskmaster,lid|月,3,remove,
充,823,allot,infant; toddler; top hat; elbow; human legs,lid|legs,2,allot,
銃,824,gun,metal; gold; allot; infant; toddler; top hat; elbow; human legs,金|lid|legs,3,gun,
硫,825,sulfur,sulphur; stone; rock; lifebelt; infant; toddler; top hat; elbow; stream; flood,石|lid,2,sulfur,
流,826,current,water; water droplets; water pistol; lifebelt; infant; toddler; top hat; elbow; stream; flood,水|lid,2,current,
允,827,license,elbow; human legs,legs,1,license,
唆,828,tempt,mouth; streetwalker; Ministry of silly walks; John Cleese; license; elbow; human legs; walking legs,口|legs,2,tempt,
出,829,exit,,,0,exit,
山,830,mountain,,,0,mountain,
拙,831,bungling,finger; fingers; exit,,0,bungling,
岩,832,boulder,mountain; stone; rock,石,1,boulder,
炭,833,charcoal,mountain; ashes; cliff; fire,cliff|火,2,charcoal,
岐,834,branch off,mountain; branch; ten; needle; crotch,十,1,branch off,
峠,835,mountain pass,mountain; above; below,,0,mountain pass,
崩,836,crumble,mountain; companion; moon,月,2,crumble,
密,837,secrecy,house; invariably; heart; mountain,,0,secrecy,
蜜,838,honey,house; invariably; heart; insect,,0,honey,
嵐,839,storm,mountain; wind; gnats; drop; insect,丶,1,storm,
崎,840,promontory,mountain; strange; large; St. Bernard; can; street; nail; spike; mouth,口,1,promontory,
崖,841,bluffs,mountain; cliff; ivy; square jewel; soil; dirt; ground,cliff|土,2,bluffs,
入,842,enter,,,0,enter,
込,843,crowded,enter; road,,0,crowded,
分,844,part,eight; sword; dagger,split,1,part,
貧,845,poverty,part; eight; sword; dagger; shellfish; clam; oyster; eye; animal legs; eight,split|貝|目|legs,4,poverty,
頒,846,partition,part; eight; sword; dagger; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,split|一|丶|貝|目|legs,6,partition,
公,847,public,eight; elbow,split,1,public,
松,848,pine tree,tree; wood; public; eight; elbows,木|split,2,pine tree,
翁,849,venerable old man,public; eight; elbows; feathers; wings,split,1,venerable old man,
訟,850,sue,say; words; keitai; mouth; public; eight; elbows,口|split,2,sue,
谷,851,valley,eight; umbrella; mouth,split|口,2,valley,
浴,852,bathe,water; water droplets; water pistol; valley; eight; umbrella; mouth,水|split|口,3,bathe,
容,853,contain,house; valley; eight; umbrella; mouth,split|口,2,contain,
溶,854,melt,water; water droplets; water pistol; contents; contain; house; valley; animal legs; eight; umbrella; mouth,水|legs|split|口,4,melt,
欲,855,longing,valley; eight; umbrella; mouth; lack; yawn,split|口,2,longing,
裕,856,abundant,cloak; valley; eight; umbrella; mouth,split|口,2,abundant,
鉛,857,lead (metal),lead; metal; gold; gully; eight; mouth,金|split|口,3,lead (metal),
沿,858,run alongside,water; water droplets; water pistol; gully; eight; mouth,水|split|口,3,run alongside,
賞,859,prize,outhouse; small; little; crown; mouth; shellfish; clam; oyster; eye; animal legs; eight,小|口|貝|目|legs|split,6,prize,
党,860,party,outhouse; small; little; crown; mouth; human legs,小|口|legs,3,party,
堂,861,hall,outhouse; small; little; crown; mouth; soil; dirt; ground,小|口|土,3,hall,
常,862,usual,outhouse; small; little; crown; mouth; towel,小|口,2,usual,
裳,863,skirt,outhouse; small; little; crown; mouth; cloth; clothes; clothing; garment,小|口,2,skirt,
掌,864,manipulate,outhouse; small; little; crown; mouth; hand,小|口,2,manipulate,
皮,865,pelt,branch; ten; needle; crotch; hook,十|乙,2,pelt,
波,866,waves,water; water droplets; water pistol; pelt; branch; ten; needle; crotch; hook,水|十|乙,3,waves,
婆,867,old woman,wave; water; water droplets; water pistol; pelt; branch; ten; needle; crotch; hook; woman,水|十|乙|女,4,old woman,
披,868,expose,finger; fingers; pelt; branch; ten; needle; crotch; hook,十|乙,2,expose,
破,869,rend,stone; rock; pelt; branch; ten; needle; crotch; hook,石|十|乙,3,rend,
被,870,incur,cloak; pelt; branch; ten; needle; crotch; hook,十|乙,2,incur,
残,871,remainder,bones; one; ceiling; evening; float,一|evening,2,remainder,
殉,872,martyrdom,bones; one; ceiling; evening; decameron; bound up; sun;line; evening; sun,3,,martyrdom,
殊,873,particularly,bones; one; ceiling; evening; vermilion; drop; not yet; one; tree; wood,一|evening|丶|木,4,particularly,
殖,874,augment,bones; one; ceiling; evening; straightaway; ten; needle; eye; fishhook,一|evening|十|目,4,augment,
列,875,file,bones; one; ceiling; evening; sword; sabre; saber,一|evening,2,file,
裂,876,split,file; bones; one; ceiling; evening; sword; sabre; saber; cloth; clothes; clothing; garment,一|evening,2,split,
烈,877,ardent,file; bones; one; ceiling; evening; sword; sabre; saber; oven-fire; barbecue,一|evening,2,ardent,
死,878,death,bones; one; ceiling; evening; spoon; sitting on the ground,一|evening,2,death,
葬,879,interment,flowers; death; bones; one; ceiling; evening; spoon; sitting on the ground; two hands,一|evening,2,interment,
瞬,880,wink,eye; Rose of Sharon; birdhouse; birdcage; claw; vulture; crown; sunglasses; dancing legs; ballerina; evening,目|evening,2,wink,
耳,881,ear,,,0,ear,
取,882,take,ear; crotch,,0,take,
趣,883,gist,run; soil; dirt; ground; mend; take; ear; crotch,土,1,gist,
最,884,utmost,sun; take; ear; crotch,日,1,utmost,
撮,885,snapshot,finger; fingers; utmost; sun; take; ear; crotch,日,1,snapshot,
恥,886,shame,ear; heart,,0,shame,
職,887,post,ear; kazoo; sound; vase; stand up; sun; fiesta,日,1,post,
聖,888,holy,ear; mouth; king; jewel; ball,口|ball,2,holy,
敢,889,daring,street; nail; spike; ear; taskmaster,,0,daring,
聴,890,listen,ear; stethoscope; camel; ten; needle; eye; cross-eyed; net; heart,十|目,2,listen,
懐,891,pocket,Freud; state of mind; poltergeist; BernaE; ten; needle; eye; cross-eyed; net; top hat; scarf; cloth; clothes; clothing; garment,十|目|lid,3,pocket,
慢,892,ridicule,Freud; state of mind; mandala; sun; eye; cross-eyed; net; crotch,日|目,2,ridicule,
漫,893,loose,water; water droplets; water pistol; mandala; sun; eye; cross-eyed; net; crotch,水|日|目,3,loose,
買,894,buy,eye; cross-eyed; net; shellfish; clam; oyster; eye; animal legs; eight,目|貝|legs|split,4,buy,
置,895,placement,eye; cross-eyed; net; straightaway; ten; needle; eye; fishhook,目|十,2,placement,
罰,896,penalty,eye; cross-eyed; net; say; words; keitai; mouth; sword; sabre; saber,目|口,2,penalty,
寧,897,rather,house; heart; eye; cross-eyed; net; street; nail; spike,目,1,rather,
濁,898,voiced,water; water droplets; water pistol; spider; eye; cross-eyed; net; bound up; insect,水|目,2,voiced,
環,899,ring,king; jewel; ball; trampoline; eye; cross-eyed; net; one; ceiling; mouth; scarf,ball|目|一|口,4,ring,
還,900,send back,trampoline; eye; cross-eyed; net; one; ceiling; mouth; scarf; road,目|一|口,3,send back,
夫,901,husband,one; large,一,1,husband,
扶,902,aid,finger; fingers; husband,,0,aid,
渓,903,mountain stream,water; water droplets; water pistol; claw; vulture; husband,水,1,mountain stream,
規,904,standard,husband; see; telescope; eye; human legs,目|legs,2,standard,
替,905,exchange,husband; sun; tongue wagging,日,1,exchange,
賛,906,approve,husband; shellfish; clam; oyster; eye; animal legs; eight,貝|目|legs|split,4,approve,
潜,907,submerge,water; water droplets; water pistol; exchange; husband; sun; tongue wagging,水|日,2,submerge,
失,908,lose,drop; husband,丶,1,lose,
鉄,909,iron,metal; gold; lose; drop; husband,金|丶,2,iron,
迭,910,alternate,transfer; lose; drop; husband; road,丶,1,alternate,
臣,911,retainer,slave,,0,retainer,
姫,912,princess,woman; retainer; slave,女,1,princess,
蔵,913,storehouse,flowers; parade; retainer; slave,,0,storehouse,
臓,914,entrails,moon; storehouse; flowers; parade; retainer; slave,月,2,entrails,
賢,915,intelligent,loincloth; retainer; slave; crotch; shellfish; clam; oyster; eye; animal legs; eight,貝|目|legs|split,4,intelligent,
腎,916,kidney,loincloth; retainer; slave; crotch; moon,月,2,kidney,
堅,917,strict,loincloth; retainer; slave; crotch; soil; dirt; ground,土,1,strict,
臨,918,look to,retainer; slave; reclining; lying down; goods; mouth,口,1,look to,
覧,919,perusal,retainer; slave; reclining; lying down; one; floor; look; see; telescope; eye; human legs,一|目|legs,3,perusal,
巨,920,gigantic,Fafner,,0,gigantic,
拒,921,repel,finger; fingers; gigantic; Fafner,,0,repel,
力,922,power,muscle; arnold,,0,power,
男,923,man,rice field; brains; power; muscle; arnold,田,1,man,
労,924,labor,schoolhouse; owl; crown; power; muscle; arnold,,0,labor,
募,925,recruit,graveyard; flowers; sun; large; St. Bernard; power; muscle; arnold,日,1,recruit,
劣,926,inferiority,few; power; muscle; arnold,,0,inferiority,
功,927,achievement,craft; powered; power; muscle; arnold,,0,achievement,
勧,928,persuade,pegasus; horse; pantomime horse; noon; sign of the horse; turkey; power; muscle; arnold,,0,persuade,
努,929,toil,guy; woman; crotch; power; muscle; arnold,女,1,toil,
勃,930,uprising,bishop; cross; ten; needle; crown; child; power; muscle; arnold,十|子,2,uprising,
励,931,encourage,Wimbledon; cliff; ten thousand; power; muscle; arnold,cliff,1,encourage,
加,932,add,power; muscle; arnold; mouth,口,1,add,
賀,933,congratulations,add; power; muscle; arnold; mouth; shellfish; clam; oyster; eye; animal legs; eight,口|貝|目|legs|split,5,congratulations,
架,934,erect,add; power; muscle; arnold; mouth; tree; wood,口|木,2,erect,
脇,935,armpit,moon; triceps; power; muscle; arnold,月,2,armpit,
脅,936,threaten,triceps; power; muscle; arnold; moon,月,2,threaten,
協,937,co-,ten; needle; triceps; power; muscle; arnold,十,1,co-,
行,938,going,boulevard,,0,going,
律,939,rhythm,Nelson; column; going; line; brush,一,1,rhythm,
復,940,restore,Nelson; column; going; line; fold back; double back; reclining; lying down; sun; walking legs,一|日,2,restore,
得,941,gain,Nelson; column; going; line; bill posters; nightbreak; sun; one; floor; glue,一|日,2,gain,
従,942,accompany,Nelson; column; going; line; horns; mend,一|horns,2,accompany,
徒,943,junior,Nelson; column; going; line; run; soil; dirt; ground; mend,一|土,2,junior,
待,944,wait,Nelson; column; going; line; Buddhist temple; soil; dirt; ground; glue,一|土,2,wait,
往,945,journey,Nelson; column; going; line; candlestick; lord; drop; king; jewel; ball,一|丶|ball,3,journey,
征,946,subjugate,Nelson; column; going; line; correct; one; ceiling; stop; footprint,一,1,subjugate,
径,947,diameter,Nelson; column; going; line; spool; clod; toilet paper; crotch; soil; dirt; ground,一|土,2,diameter,
彼,948,he,Nelson; column; going; line; pelt; branch; ten; needle; crotch; hook,一|十|乙,3,he,
役,949,duty,Nelson; column; going; line; cruise missile; missile; wind; crotch,一,1,duty,
徳,950,benevolence,Nelson; column; going; line; stethoscope; camel; ten; needle; eye; cross-eyed; net; heart,一|十|目,3,benevolence,
徹,951,penetrate,Nelson; column; going; line; borstal; bring up; infant; toddler; top hat; elbow; moon; taskmaster,一|lid|月,4,penetrate,
徴,952,indications,sherpa; Nelson; column; going; line; mountain; king; jewel; ball; taskmaster,一|ball,2,indications,
懲,953,penal,indications; sherpa; Nelson; column; going; line; mountain; king; jewel; ball; taskmaster; heart,一|ball,2,penal,
微,954,delicate,sherpa; Nelson; column; going; line; mountain; one; ceiling; human legs; taskmaster,一|legs,2,delicate,
街,955,boulevard,going; ivy; square jewel; soil; dirt; ground,土,1,boulevard,
桁,956,girder,tree; wood; going,木,1,girder,
衡,957,equilibrium,boulevard; going; bound up; rice field; brains; large; St. Bernard,田,1,equilibrium,
稿,958,draft,wheat; cereal; tall; top hat; mouth; hood; mouth,lid|口,2,draft,
稼,959,earnings,wheat; cereal; house; sow; pig,,0,earnings,
程,960,extent,wheat; cereal; display; mouth; king; jewel; ball,口|ball,2,extent,
税,961,tax,wheat; cereal; devil; horns; elder brother; teenager; mouth; human legs,horns|口|legs,3,tax,
稚,962,immature,wheat; cereal; turkey,,0,immature,
和,963,harmony,wheat; cereal; mouth,口,1,harmony,
移,964,shift,wheat; cereal; many; evening,evening,1,shift,
秒,965,second,wheat; cereal; few,,0,second,
秋,966,autumn,wheat; cereal; fire,火,1,autumn,
愁,967,distress,autumn; wheat; cereal; fire; heart,火,1,distress,
私,968,private,wheat; cereal; elbow,,0,private,
秩,969,regularity,wheat; cereal; lose; drop; husband,丶,1,regularity,
秘,970,secret,wheat; cereal; invariably; heart; drop,丶,1,secret,
称,971,appellation,wheat; cereal; hammock; reclining; lying down; small; little,小,1,appellation,
利,972,profit,wheat; cereal; sword; sabre; saber,,0,profit,
梨,973,pear tree,profit; wheat; cereal; sword; sabre; saber; tree; wood,木,1,pear tree,
穫,974,harvest,wheat; cereal; radio caroline; flowers; vessels; turkey; crotch,,0,harvest,
穂,975,ear of a plant,ear (of a plant); wheat; cereal; favour; favor; ten; needle; rice field; brains; heart,十|田,2,ear of a plant,
稲,976,rice plant,wheat; cereal; claw; vulture; old days; olden times; stick; sun;sun,1,,rice plant,
香,977,incense,wheat; cereal; sun;sun,1,,incense,
季,978,seasons,wheat; cereal; child,子,1,seasons,
委,979,committee,wheat; cereal; woman,女,1,committee,
秀,980,excel,wheat; cereal; fist; from,,0,excel,
透,981,transparent,excel; wheat; cereal; fist; from; road,,0,transparent,
誘,982,entice,say; words; keitai; mouth; excel; wheat; cereal; fist; from,口,1,entice,
稽,983,training,wheat; cereal; understandably; chihuahua with one human leg; delicious; spoon; sitting on the ground; sun;sun,1,,training,
穀,984,cereals,samurai; crown; wheat; cereal; cruise missile; missile; wind; crotch,,0,cereals,
菌,985,germ,flowers; pent in; wheat; cereal,囗,1,germ,
萎,986,numb,flowers; committee; wheat; cereal; woman,女,1,numb,
米,987,rice,,,0,rice,
粉,988,flour,rice; part; eight; sword; dagger,split,1,flour,
粘,989,sticky,rice; fortune-telling; magic wand; augury; mouth,口,1,sticky,
粒,990,grains,rice; vase; stand up,,0,grains,
粧,991,cosmetics,rice; shire; cave; soil; dirt; ground,土,1,cosmetics,
迷,992,astray,rice; road,,0,astray,
粋,993,chic,rice; ninety; nine; baseball; ten; needle,ball|十,2,chic,
謎,994,riddle,say; words; keitai; mouth; astray; rice; road,口,1,riddle,
糧,995,provisions,rice; quantity; nightbreak; sun; one; floor; computer,日|一,2,provisions,
菊,996,chrysanthemum,flowers; rice cooker; bound up; rice,,0,chrysanthemum,
奥,997,core,drop; pent in; rice; large; St. Bernard,丶|囗,2,core,
数,998,number,rice; woman; taskmaster,女,1,number,
楼,999,watchtower,tree; wood; rice; woman,木|女,2,watchtower,
類,1000,sort,rice; large; St. Bernard; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,一|丶|貝|目|legs|split,6,sort,
漆,1001,lacquer,water; water droplets; water pistol; tree; wood; umbrella; grains of rice,水|木,2,lacquer,
膝,1002,knee,moon; tree; wood; umbrella; grains of rice,月|木,3,knee,
様,1003,Esq.,tree; wood; sheep; grains of rice,木,1,Esq.,
求,1004,request,arrow; grains of rice,,0,request,
球,1005,ball,king; jewel; request; arrow; grains of rice,,0,ball,
救,1006,salvation,request; arrow; grains of rice; taskmaster,,0,salvation,
竹,1007,bamboo,,,0,bamboo,
笑,1008,laugh,bamboo; heavens,,0,laugh,
笠,1009,bamboo hat,bamboo; vase; stand up,,0,bamboo hat,
笹,1010,bamboo grass,bamboo; generation,,0,bamboo grass,
箋,1011,stationery,,,0,stationery,
筋,1012,muscle,bamboo; moon; power; arnold,月,2,muscle,
箱,1013,box,bamboo; inter; Inter Milan; tree; wood; eye,木|目,2,box,
筆,1014,writing brush,bamboo; brush,,0,writing brush,
筒,1015,cylinder,bamboo; same; monks; hood; one; mouth,一|口,2,cylinder,
等,1016,etc.,bamboo; Buddhist temple; soil; dirt; ground; glue,土,1,etc.,
算,1017,calculate,bamboo; eye; two hands,目,1,calculate,
答,1018,solution,bamboo; fit; meeting; umbrella; one; mouth,一|口,2,solution,
策,1019,scheme,bamboo; tree; wood; belt,木,1,scheme,
簿,1020,register,bamboo; water; water droplets; water pistol; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,水|丶|十|田,4,register,
築,1021,fabricate,bamboo; barge; craft; mediocre; wind; drop; tree; wood,丶|木,2,fabricate,
篭,1022,basket,,,0,basket,
人,1023,person,,person,1,person,
佐,1024,assistant,person; left; by one’s side; craft,人,1,assistant,
侶,1025,partner,person; spine; mouth; drop; mouth,人|口|丶,3,partner,
但,1026,however,person; nightbreak; sun; one; floor,人|日|一,3,however,
住,1027,dwell,person; candlestick; lord; drop; king; jewel; ball,人|丶|ball,3,dwell,
位,1028,rank,person; vase; stand up,人,1,rank,
仲,1029,go-between,person; in; stick; mouth,人|口,2,go-between,
体,1030,body,person; origin; book; tree; wood; one,人|木|一,3,body,
悠,1031,remote,permanence; person; stick; fred astaire; taskmaster; heart,人,1,remote,
