# rank	lemma	count
402	現れ	1503
403	消	1495
404	病気	1485
405	点	1468
406	風	1466
407	だ	1465
408	進	1458
409	結構	1456
410	治療	1454
411	予定	1451
412	許可	1443
413	勇気	1441
414	最悪	1441
415	本気	1441
416	全然	1436
417	作戦	1433
418	任務	1430
419	品	1429
420	日本	1429
421	成功	1425
422	向こう	1416
423	地	1405
424	小さな	1403
425	科学	1402
426	隊	1394
427	付く	1392
428	事実	1391
429	全	1384
430	地下	1374
431	無し	1374
432	ま	1370
433	関	1367
434	戦い	1361
435	少年	1353
436	爆発	1352
437	現実	1350
438	保護	1349
439	別れ	1344
440	あー	1341
441	さ	1339
442	時代	1337
443	主	1328
444	式	1325
445	使える	1323
446	組織	1323
447	馬	1317
448	落ち着ける	1315
449	動物	1312
450	線	1309
451	技術	1308
452	続	1306
453	個人	1303
454	局	1303
455	期待	1301
456	調子	1298
457	利用	1294
458	館	1293
459	主人	1292
460	毎日	1281
461	当然	1278
462	患者	1273
463	あたし	1268
464	今朝	1262
465	立て	1236
466	火	1225
467	地獄	1223
468	山	1222
469	屋	1220
470	陛下	1217
471	小い	1210
472	木	1207
473	解	1200
474	世話	1199
475	平気	1199
476	能力	1199
477	指	1195
478	理子	1191
479	検査	1187
480	星	1186
481	アレックス	1185
482	代わり	1173
483	構	1171
484	警部	1171
485	幸運	1170
486	食事	1170
487	駄目	1166
488	侵入	1165
489	緊急	1165
490	親父	1164
491	気付	1160
492	離	1139
493	原因	1138
494	警告	1135
495	山里	1133
496	特に	1127
497	部下	1125
498	運命	1117
499	到着	1113
500	自殺	1113
501	常	1111
502	現在	1109
503	一部	1108
504	大切	1106
505	行為	1106
506	遺体	1106
507	に	1102
508	曲	1101
509	感情	1095
510	夕食	1094
511	達也	1089
512	位	1088
513	手紙	1087
514	超	1085
515	混乱	1082
516	支配	1081
517	受け入れ	1080
518	影響	1079
519	行方	1077
520	半分	1075
521	少女	1073
522	誕生	1072
523	連れる	1072
524	施設	1070
525	殺す	1070
526	向ける	1069
527	人類	1066
528	機会	1066
529	器	1063
530	殺し	1060
531	上げ	1058
532	決	1055
533	正確	1053
534	向	1051
535	活動	1049
536	色々	1049
537	代	1047
538	組	1046
539	料理	1045
540	要求	1044
541	部隊	1043
542	指示	1040
543	何者	1037
544	音楽	1036
545	管理	1034
546	映像	1032
547	開始	1031
548	議員	1030
549	南	1028
550	反対	1026
551	勝手	1024
552	可愛い	1021
553	反応	1020
554	女王	1020
555	師	1020
556	面倒	1020
557	権利	1018
558	旅	1017
559	出発	1010
560	大好き	1009
561	当	1003
562	保安	999
563	楽しみ	989
564	将軍	985
565	担当	985
566	事態	983
567	杯	975
568	偉大	971
569	ロシア	969
570	平和	965
571	結局	965
572	司令	963
573	示る	963
574	解放	962
575	重	962
576	事務	961
577	瞬間	959
578	教授	958
579	教会	956
580	優しい	954
581	位置	952
582	部分	949
583	以来	946
584	突然	945
585	去る	943
586	通信	943
587	集中	943
588	あっち	942
589	契約	937
590	住所	932
591	園	932
592	異常	931
593	沢山	927
594	社	927
595	動き	925
596	様子	923
597	参加	921
598	自然	913
599	殺害	911
600	証言	908
601	途中	906
602	夏美	898
603	前回	897
604	種	897
605	手術	895
606	強盗	892
607	魔女	889
608	信号	887
609	専門	886
610	安心	884
611	会議	883
612	美月	883
613	閣下	883
614	提供	882
615	残	881
616	荷物	880
617	基地	874
618	目撃	873
619	親	867
620	全体	865
621	時々	864
622	動く	863
623	怪物	863
624	会話	859
625	一致	855
626	半	851
627	アンタ	849
628	徳井	849
629	広	846
630	勝利	844
631	天使	843
632	色	843
633	主義	841
634	旅行	838
635	個	836
636	夫人	836
637	死亡	836
638	目標	835
639	中国	834
640	建物	833
641	生徒	833
642	確信	833
643	台	832
644	使用	831
645	出会	831
646	周り	829
647	川	829
648	社会	829
649	市民	828
650	停止	820
651	実験	815
652	直接	815
653	ありがと	813
654	実行	810
655	乗せ	808
656	後悔	806
657	案内	805
658	流	804
659	禁止	802
660	足りる	800
661	次第	796
662	距離	792
663	制御	787
664	感染	787
665	白	787
666	有名	786
667	呼ぶ	785
668	戦闘	783
669	あ	782
670	以内	779
671	時	779
672	書類	779
673	偶然	777
674	機械	777
675	最終	776
676	アア	774
677	無視	774
678	同意	772
679	呼吸	772
680	王子	772
681	巨人	771
682	横	770
683	軍隊	770
684	支援	769
685	大人	768
686	恋人	768
687	知り合い	767
688	進める	766
689	努力	765
690	惑星	758
691	味方	757
692	限	757
693	回復	753
694	新聞	753
695	クレア	752
696	兵器	750
697	投げ	750
698	アパート	745
699	乗る	745
700	一生	743
701	最	743
702	立つ	743
703	アン	742
704	処理	740
705	方向	739
706	決定	739
707	アクセス	737
708	親友	736
709	満足	735
710	神経	735
711	分析	728
712	流れ	728
713	不思議	726
714	物語	726
715	入り	725
716	青	725
717	果	724
718	半田	723
719	両方	721
720	久しい	721
721	練習	721
722	他人	720
723	アラン	718
724	成長	718
725	再び	716
726	医	716
727	指揮	715
728	病	715
729	最大	714
730	時計	712
731	記事	712
732	面	711
733	手段	710
734	楽	707
735	具合	705
736	高校	705
737	太陽	704
738	立ち	704
739	経	704
740	才能	701
741	交換	700
742	所有	699
743	救急	696
744	最低	696
745	治	695
746	修理	694
747	団	693
748	応答	693
749	魅力	693
750	社長	691
751	勉強	689
752	提案	689
753	気の毒	689
754	資金	689
755	金持ち	689
756	ありさ	688
757	試合	688
758	安定	687
759	指紋	687
760	日間	683
761	石	683
762	午後	679
763	政治	678
764	正体	677
765	確保	677
766	アンナ	676
767	優秀	675
768	機能	675
769	発生	671
770	立場	670
771	英雄	670
772	帽子	669
773	電気	669
774	効果	668
775	連邦	668
776	条件	667
777	確実	666
778	土地	665
779	規則	665
780	卒業	664
781	手がかり	664
782	直ぐ	664
783	自己	663
784	列車	662
785	加減	659
786	暴力	659
787	返	659
788	アイツ	658
789	立派	658
790	形	656
791	不安	655
792	同様	655
793	身体	654
794	ライアン	653
795	権	652
796	対処	651
797	表	651
798	無線	650
799	千	649
800	雄基	648
801	誤解	647
802	起動	647
803	公	646
804	名誉	646
805	接触	646
806	大佐	644
807	あり	643
808	説得	643
809	標的	642
810	特定	642
811	非	640
812	正義	639
813	興奮	639
814	導	638
815	見張	638
816	無実	636
817	承知	635
818	光栄	633
819	納得	633
820	変更	632
821	本部	632
822	空気	631
823	城	630
824	支払	630
825	あらゆる	629
826	生命	629
827	片付け	627
828	アダム	626
829	医療	625
830	地図	625
831	法律	625
832	台無し	622
833	評価	621
834	貴様	621
835	都市	621
836	乗り	620
837	小	618
838	東	618
839	出身	617
840	村	617
841	保証	616
842	合わせ	616
843	大した	616
844	釈放	616
845	予想	615
846	疑問	615
847	省	615
848	交渉	614
849	同僚	614
850	変化	614
851	馬場	612
852	西	611
853	教	610
854	作業	609
855	将来	608
856	引	608
857	巨大	607
858	悠里	607
859	手配	607
860	指輪	607
861	空港	607
862	工場	604
863	話し合	602
864	あるいは	600
865	目覚める	600
866	金庫	600
867	間違える	599
868	当て	596
869	内部	595
870	艦隊	594
871	食料	592
872	保険	589
873	味	588
874	得意	588
875	生物	588
876	医師	587
877	鉄	587
878	子ども	585
879	英語	584
880	離婚	584
881	違反	583
882	男の子	582
883	維持	581
884	量	580
885	政子	579
886	口座	578
887	大勢	576
888	親切	576
889	仕業	575
890	太	574
891	贈り物	574
892	待機	571
893	戦士	571
894	知らせ	570
895	系	570
896	食べ物	569
897	尋問	568
898	発射	567
899	駅	567
900	育	566
901	事情	563
902	国家	563
903	開発	563
904	上司	562
905	育て	562
906	大使	561
907	機関	560
908	超え	560
909	無い	558
910	アー	557
911	天才	557
912	正気	556
913	人質	555
914	有罪	555
915	約	555
916	中止	554
917	現金	554
918	発表	554
919	公園	553
920	始末	553
921	撮影	553
922	衛星	553
923	小屋	552
924	都合	552
925	関連	552
926	単純	551
927	王国	551
928	存知	547
929	民	546
930	アレ	545
931	加える	545
932	道路	544
933	慎重	542
934	神父	542
935	注文	540
936	生存	540
937	時期	539
938	物質	539
939	米国	539
940	関心	539
941	駐車	538
942	遺伝	535
943	エイリアン	534
944	畜生	534
945	化学	533
946	返事	533
947	数え	532
948	アップ	531
949	緊張	531
950	優先	529
951	出来事	526
952	完成	526
953	設計	526
954	大量	525
955	内容	524
956	授業	523
957	機密	523
958	義務	521
959	突き止める	520
960	通報	519
961	文字	518
962	学生	517
963	暗殺	517
964	オリビア	516
965	背中	516
966	暗号	515
967	注目	515
968	休み	514
969	囚人	514
970	孤独	511
971	防衛	511
972	アイデア	510
973	武装	510
974	地域	509
