kanji,heisig_number,heisig_keyword,components,primitive_count
削,124,plane,resemblance; spark; candle; small; little; moon; month; flesh; part of the body; sword; sabre; saber
光,125,ray,small; little; human legs
太,126,plump,large; St. Bernard; drop
器,127,utensil,mouth; large; St. Bernard
臭,128,stinking,nose; drop; eye; large; St. Bernard
嗅,129,sniff,
妙,130,exquisite,woman; few
省,131,focus,few; eye
厚,132,thick,cliff; sun; day; child
奇,133,strange,large; St. Bernard; can; mouth; street; nail; spike
川,134,stream,flood
州,135,state,stream; flood; drops
順,136,obey,stream; flood; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
水,137,water,
氷,138,icicle,drop; water
永,139,eternity,drop; water
泉,140,spring,white; dove; water
腺,141,gland,moon; month; flesh; part of the body; spring; white; dove; water
原,142,meadow,cliff; spring; white; dove; small; little
願,143,petition,meadow; cliff; white; dove; small; little; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
泳,144,swim,water; water droplets; water pistol; eternity
沼,145,marsh,water; water droplets; water pistol; summon; seduce; sword; dagger; mouth
沖,146,open sea,water; water droplets; water pistol; in; stick; mouth
汎,147,pan-,water; water droplets; water pistol; mediocre; wind; drop
江,148,creek,water; water droplets; water pistol; craft
汰,149,cleanse,water; water droplets; water pistol; plump; large; St. Bernard; drop
汁,150,soup,water; water droplets; water pistol; ten; needle
沙,151,grains of sand,water; water droplets; water pistol; few
潮,152,tide,water; water droplets; water pistol; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body
源,153,source,water; water droplets; water pistol; meadow; cliff; sun; day; small; little
活,154,lively,water; water droplets; water pistol; tongue; drop; old; tombstone; gravestone; church; ten; needle; mouth
消,155,extinguish,water; water droplets; water pistol; resemblance; spark; candle; small; little; moon; month; flesh; part of the body
況,156,but of course,water; water droplets; water pistol; elder brother; teenager; mouth; human legs
河,157,river,water; water droplets; water pistol; can; street; nail; spike; mouth
泊,158,overnight,water; water droplets; water pistol; white; dove
湖,159,lake,water; water droplets; water pistol; uncivilized; zombie; old; tombstone; gravestone; church; ten; needle; mouth; moon; month; flesh; part of the body
測,160,fathom,water; water droplets; water pistol; rule; shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber
土,161,soil,dirt; ground
吐,162,spit,mouth; soil; dirt; ground
圧,163,pressure,cliff; soil; dirt; ground
埼,164,cape,soil; dirt; ground; strange; large; St. Bernard; street; nail; spike; mouth
垣,165,hedge,soil; dirt; ground; span; one; ceiling; sun; day; one; floor; one
填,166,inlay,
圭,167,squared jewel,square jewel; ivy; soil; dirt; ground
封,168,seal,ivy; square jewel; soil; dirt; ground; glue
涯,169,horizon,water; water droplets; water pistol; cliff; ivy; square jewel; soil; dirt; ground
寺,170,Buddhist temple,buddhist temple; soil; dirt; ground; glue
時,171,time,sun; day; Buddhist temple; soil; dirt; ground; glue
均,172,level,soil; dirt; ground; ladle; drop
火,173,fire,
炎,174,inflammation,fire
煩,175,anxiety,fire; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
淡,176,thin,water; water droplets; water pistol; inflammation; fire
灯,177,lamp,fire; street; nail; spike
畑,178,farm,fire; rice field; brains
災,179,disaster,stream; flood; fire
灰,180,ashes,cliff; fire
点,181,spot,fortune-telling; magic wand; augury; mouth; oven-fire; barbecue
照,182,illuminate,shining; sun; day; summon; seduce; sword; dagger; mouth; oven-fire; barbecue
魚,183,fish,bound up; rice field; brains; oven-fire; barbecue
漁,184,fishing,water; water droplets; water pistol; fish; bound up; rice field; brains; oven-fire; barbecue
里,185,ri,computer; rice field; brains; soil; dirt; ground
黒,186,black,computer; oven-fire; barbecue
墨,187,black ink,black; computer; oven-fire; barbecue
鯉,188,carp,fish; bound up; rice field; brains; oven-fire; barbecue; computer
量,189,quantity,nightbreak; sun; day; one; floor; computer
厘,190,rin,cliff; computer
埋,191,bury,soil; dirt; ground; computer
同,192,same,monks; hood; one; mouth
洞,193,den,water; water droplets; water pistol; same; monks; hood; one; mouth
胴,194,trunk,moon; month; flesh; part of the body; same; monks; hood; one; mouth
向,195,yonder,alien; drop; helmet; hood; mouth
尚,196,esteem,small; little; alien; glass canopy; hood; mouth
字,197,character,house; child
守,198,guard,house; glue
完,199,perfect,house; beginning; two; human legs
宣,200,proclaim,house; span; one; ceiling; sun; day; one; floor; one
宵,201,wee hours,house; resemblance; spark; candle; small; little; moon; month; flesh; part of the body
安,202,relax,house; woman
宴,203,banquet,relax; house; sun; day; tongue wagging; woman
寄,204,draw near,house; strange; large; St. Bernard; can; street; nail; spike; mouth
富,205,wealth,house; one; ceiling; mouth; rice field; brains
貯,206,savings,shellfish; clam; oyster; eye; animal legs; eight; house; street; nail; spike
木,207,tree,wood
林,208,grove,tree; wood
森,209,forest,tree; wood
桂,210,Japanese Judas-tree,Japanese Judas tree; tree; wood; ivy; square jewel; soil; dirt; ground
柏,211,oak,tree; wood; white; dove
枠,212,frame,tree; wood; ninety; nine; baseball; ten; needle
梢,213,treetops,tree; wood; resemblance; spark; candle; small; little; moon; month; flesh; part of the body
棚,214,shelf,tree; wood; companion; moon; month; flesh; part of the body; flesh
杏,215,apricot,tree; wood; mouth
桐,216,paulownia,tree; wood; same; monks; hood; one; mouth
植,217,plant,tree; wood; straightaway; ten; needle; eye; fishhook
椅,218,chair,tree; wood; strange; large; St. Bernard; street; nail; spike; mouth
枯,219,wither,tree; wood; old; tombstone; gravestone; church; ten; needle; mouth
朴,220,crude,tree; wood; magic wand; augury
村,221,town,tree; wood; measure; glue
相,222,inter-,tree; wood; eye
机,223,desk,tree; wood; wind
本,224,book,tree; wood; one
札,225,tag,tree; wood; fishhook
暦,226,calendar,cliff; grove; tree; wood; sun; day
案,227,plan,relax; house; woman; tree; wood
燥,228,parch,fire; furniture; wooden goods; mouth; tree; wood
未,229,not yet,tree; wood; one
末,230,extremity,tree; wood; one
昧,231,obscure,sun; not yet; one; tree; wood
沫,232,splash,water; water droplets; water pistol; extremity; one; tree; wood
味,233,flavor,mouth; not yet; one; tree; wood
妹,234,younger sister,woman; not yet; one; tree; wood
朱,235,vermilion,vermillion; drop; not yet; one; tree; wood
株,236,stocks,tree; wood; vermillion; drop; not yet; one; tree; wood
若,237,young,flowers; right; by one’s side; mouth
草,238,grass,flowers; sunflower; early; sun; day; ten; needle
苦,239,suffering,flowers; old; tombstone; gravestone; church; ten; needle; mouth
苛,240,bullying,flowers; can; mouth; street; street; nail; spike
寛,241,tolerant,house; flowers; look; see; telescope; eye; human legs
薄,242,dilute,flowers; water; water droplets; water pistol; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue
葉,243,leaf,flowers; Tarzan; generation; tree; wood
模,244,imitation,tree; wood; graveyard; flowers; sun; day; large; St. Bernard
漠,245,vague,water; water droplets; water pistol; graveyard; flowers; sun; day; large; St. Bernard
墓,246,grave,graveyard; flowers; sun; day; large; St. Bernard; soil; dirt; ground
暮,247,livelihood,graveyard; flowers; sun; day; large; St. Bernard
膜,248,membrane,moon; month; flesh; part of the body; graveyard; flowers; sun; day; large; St. Bernard
苗,249,seedling,flowers; rice field; brains
兆,250,portent,turtle
桃,251,peach tree,tree; wood; portent; turtle
眺,252,stare,eye; portent; turtle
犬,253,dog,large; St. Bernard; drop
状,254,status quo,turtle; chihuahua; dog; large; drop
黙,255,silence,black; computer; chihuahua; dog; large; drop; oven-fire; barbecue
然,256,sort of thing,moon; crescent moon; month; flesh; part of the body; chihuahua; dog; large; drop; oven-fire; barbecue
荻,257,reed,flowers; pack of wild dogs; fire
狩,258,hunt,pack of wild dogs; guard; house; glue
猫,259,cat,pack of wild dogs; seedlings; flowers; rice field; brains
牛,260,cow,
特,261,special,cow; Buddhist temple; soil; dirt; ground; glue
告,262,revelation,cow; mouth
先,263,before,cow; human legs
洗,264,wash,water; water droplets; water pistol; before; cow; human legs
介,265,jammed in,umbrella; stick; walking cane
界,266,world,rice field; brains; jammed in; umbrella; stick; cane
茶,267,tea,flowers; umbrella; wooden pole
脊,268,spinal column,I Ching; Master Po; umbrella; moon; month; flesh; part of the body
合,269,fit,meeting; umbrella; one; mouth
塔,270,pagoda,soil; dirt; ground; flowers; fit; meeting; umbrella; one; mouth
王,271,king,jewel; ball
玉,272,jewel,king; ball; earring; drop
宝,273,treasure,house; king; jewel; ball; earring; drop
珠,274,pearl,king; jewel; ball; vermillion; drop; not yet; one; tree; wood
現,275,present,king; jewel; ball; see; telescope; eye; human legs
玩,276,toy,king; jewel; ball; beginning; two; human legs
狂,277,lunatic,pack of wild dogs; king; jewel; ball
旺,278,effulgent,sun; day; king; jewel; ball
皇,279,emperor,white; dove; king; jewel; ball
呈,280,display,mouth; king; jewel; ball
全,281,whole,umbrella; king; jewel; ball
栓,282,plug,tree; wood; whole; umbrella; king; jewel; ball
理,283,logic,king; jewel; ball; computer
主,284,lord,drop; king; jewel; ball
注,285,pour,water; water droplets; water pistol; candlestick; lord; drop; king; jewel; ball
柱,286,pillar,tree; wood; candlestick; lord; drop; king; jewel; ball
金,287,gold,metal; umbrella; drop; king; jewel; ball
銑,288,pig iron,pig-iron; metal; gold; before; cow; human legs
鉢,289,bowl,metal; gold; origin; book; tree; wood; one
銅,290,copper,metal; gold; same; monks; hood; one; mouth
釣,291,angling,metal; gold; ladle; bound up; drop
針,292,needle,metal; gold; ten
銘,293,inscription,metal; gold; name; evening; mouth
鎮,294,tranquillize,tranquilize; metal; gold; true; truth; ten; needle; eye; tool; animal legs; eight
道,295,road-way,neck; horns; drop; eye; road
導,296,guidance,neck; horns; drop; eye; road; glue
辻,297,crossing,cross; ten; needle; road
迅,298,swift,fishhook; cross; ten; needle; road
造,299,create,revelation; cow; mouth; road
迫,300,urge,white; dove; road
逃,301,escape,turtle; portent; road
辺,302,environs,dagger; sword; road
巡,303,patrol,deluge; stream; flood; road
車,304,car,sun; ten; needle
連,305,take along,car; road
軌,306,rut,car; nine; baseball
輸,307,transport,car; meeting of butchers; umbrella; one; moon; month; flesh; part of the body; sword; sabre; saber
喩,308,metaphor,
前,309,in front,horns; butcher; moon; month; flesh; part of the body; sword; sabre; saber
煎,310,roast,in front; horns; butcher; moon; month; flesh; part of the body; sword; sabre; saber; oven-fire; barbecue
各,311,each,walking legs; mouth
格,312,status,tree; wood; each; walking legs; mouth
賂,313,graft,shellfish; clam; oyster; eye; animal legs; eight; each; walking legs; mouth
略,314,abbreviation,rice field; brains; each; walking legs; mouth
客,315,guest,house; each; walking legs; mouth
額,316,forehead,guest; house; each; walking legs; mouth; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
夏,317,summer,one; ceiling; drop; eye; walking legs
処,318,dispose,walking legs; wind
条,319,twig,walking legs; tree; wood
落,320,fall,flowers; water; water droplets; water pistol; each; walking legs; mouth
冗,321,superfluous,crown; weathercock; wind
冥,322,Hades,hades; crown; sun; day; six
軍,323,army,chariot; crown; vehicle; car
輝,324,radiance,ray; small; little; human legs; army; chariot; crown; vehicle; car
運,325,carry,army; chariot; crown; vehicle; car; road
冠,326,crown,beginning; two; human legs; glue
夢,327,dream,flowers; eye; cross-eyed; net; crown; evening
坑,328,pit,soil; dirt; ground; whirlwind; top hat; wind
高,329,tall,top hat; mouth; alien; hood; mouth
享,330,receive,tall; top hat; mouth; children
塾,331,cram school,receive; tall; top hat; mouth; child; children; round; nine; baseball; drop; soil; dirt; ground
熟,332,mellow,receive; tall; top hat; mouth; child; children; round; nine; baseball; drop; oven-fire; barbecue
亭,333,pavilion,tall; top hat; mouth; crown; street; nail; spike
京,334,capital,tall; top hat; mouth; small; little
涼,335,refreshing,water droplets; water pistol capital; tall; top hat; mouth; small; little
景,336,scenery,sun; day; capital; tall; top hat; mouth; small; little
鯨,337,whale,fish; bound up; rice field; brains; oven-fire; barbecue; capital; tall; top hat; mouth; small; little
舎,338,cottage,umbrella; earthenware jar; lidded crock; soil; dirt; ground; mouth
周,339,circumference,glass hood; earthenware jar; lidded crock; soil; dirt; ground; mouth
週,340,week,circumference; running track; earthenware jar; lidded crock; soil; dirt; ground; mouth; road
士,341,gentleman,samurai
吉,342,good luck,samurai; mouth
壮,343,robust,turtle; samurai
荘,344,villa,flowers; robust; turtle; samurai
売,345,sell,samurai; paper punch; Miss World; crown; human legs
学,346,study,schoolhouse; owl; crown; child
覚,347,memorize,schoolhouse; owl; crown; see; telescope; eye; human legs
栄,348,flourish,schoolhouse; owl; crown; tree; wood
書,349,write,brush; tongue wagging; sun; day
津,350,haven,water; water droplets; water pistol; brush
牧,351,breed,cow; taskmaster
攻,352,aggression,craft; taskmaster
敗,353,failure,shellfish; clam; oyster; eye; animal legs; eight; taskmaster
枚,354,a sheet of,sheet of…; tree; wood; taskmaster
故,355,happenstance,old; tombstone; gravestone; church; ten; needle; mouth; taskmaster
敬,356,awe,flowers; phrase; bound up; mouth; taskmaster
言,357,say,words; keitai; mouth
警,358,admonish,awe; flowers; phrase; bound up; mouth; taskmaster; say; words; keitai; mouth
計,359,plot,say; words; keitai; mouth; ten; needle
詮,360,elucidate,say; words; keitai; mouth; whole; umbrella; king; jewel; ball
獄,361,prison,pack of wild dogs; say; words; keitai; mouth; chihuahua; dog; large; drop
訂,362,revise,say; words; keitai; mouth; street; nail; spike
訃,363,obituary,
討,364,chastise,say; words; keitai; mouth; glue
訓,365,instruction,say; words; keitai; mouth; stream; flood
詔,366,imperial edict,say; words; keitai; mouth; summon; seduce; sword; dagger; mouth
詰,367,packed,say; words; keitai; mouth; aerosol; good luck; samurai; mouth
話,368,tale,say; words; keitai; mouth; tongue; thousand; mouth
詠,369,recitation,say; words; keitai; mouth; eternity; drop; water
詩,370,poem,say; words; keitai; mouth; Buddhist temple; soil; dirt; ground; glue
語,371,word,say; words; keitai; mouth; I; five; mouth
読,372,read,say; words; keitai; mouth; sell; sale; samurai; paper punch; Miss World; crown; human legs
調,373,tune,say; words; keitai; mouth; circumference; running track; soil; dirt; ground; mouth
談,374,discuss,say; words; keitai; mouth; inflammation; fire
諾,375,consent,say; words; keitai; mouth; young; flowers; by one’s side; mouth
諭,376,rebuke,say; words; keitai; mouth; meeting of butchers; moon; month; flesh; part of the body; sword; sabre; saber
式,377,style,arrow; craft
試,378,test,say; words; keitai; mouth; style; arrow; craft
弐,379,II (two),II; two; arrows; quiver
域,380,range,soil; dirt; ground; pope; fiesta; mouth; one; floor
賊,381,burglar,shellfish; clam; oyster; eye; animal legs; eight; ten; needle; fiesta
栽,382,plantation,Thanksgiving; harvest festival; ten; needle; fiesta; tree; wood
載,383,load,Thanksgiving; harvest festival; ten; needle; fiesta; car; vehicle
茂,384,overgrown,flowers; parade
戚,385,relatives,half-uncle; above; small; little; parade
成,386,turn into,parade; sword; dagger
城,387,castle,soil; dirt; ground; turn into; parade; sword; dagger
誠,388,sincerity,say; words; keitai; mouth; turn into; sword; dagger; parade
威,389,intimidate,march; women; woman
滅,390,destroy,water; water droplets; water pistol; march; fire
減,391,dwindle,water; water droplets; water pistol; march; mouth
蔑,392,revile,flowers; eye; cross-eyed; net; march
桟,393,scaffold,tree; wood; float; fiesta
銭,394,coin,metal; gold; float; fiesta
浅,395,shallow,water; water droplets; water pistol; float; fiesta
止,396,stop,footprint
歩,397,walk,stop; footprint; few
渉,398,ford,water; water droplets; water pistol; walk; stop; footprint; few
頻,399,repeatedly,walk; stop; footprint; few; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
肯,400,agreement,stop; footprint; moon; month; flesh; part of the body
企,401,undertake,umbrella; stop; footprint
歴,402,curriculum,cliff; grove; tree; wood; stop; footprint
武,403,warrior,one; arrow; stop; footprint
賦,404,levy,shellfish; clam; oyster; eye; animal legs; eight; warrior; one; stop; footprint; arrow
正,405,correct,one; ceiling; stop; footprint
証,406,evidence,say; words; keitai; mouth; correct; one; ceiling; stop; footprint
政,407,politics,correct; one; ceiling; stop; footprint; taskmaster
定,408,determine,house; mend
錠,409,lock,metal; gold; determine; determined; house; mend
走,410,run,soil; dirt; ground; mend
超,411,transcend,run; soil; dirt; ground; mend; summon; seduce; sword; dagger; mouth
赴,412,proceed,run; soil; dirt; ground; mend; magic wand; augury
越,413,surpass,run; soil; dirt; ground; mend; parade
是,414,just so,sun; day; mend
題,415,topic,just so; sun; day; mend; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
堤,416,dike,soil; dirt; ground; just so; sun; day; mend
建,417,build,brush; stretch
鍵,418,key,metal; gold; build; brush; stretch
延,419,prolong,drop; stop; footprint; stretch
誕,420,nativity,say; words; keitai; mouth; prolonged; drop; stop; footprint; stretch
礎,421,cornerstone,stone; rock; grove; tree; wood; zoo; critters
婿,422,bridegroom,woman; zoo; critters; moon; month; flesh; part of the body
衣,423,garment,top hat; scarf; cloth; clothes; clothing
裁,424,tailor,Thanksgiving; harvest festival; ten; needle; fiesta; top hat; scarf; cloth; clothes; clothing; garment
装,425,attire,turtle; samurai; top hat; scarf; cloth; clothes; clothing; garment
裏,426,back,top hat; scarf; computer
壊,427,demolition,soil; dirt; ground; poltergeist; BernaE; ten; needle; eye; cross-eyed; net; top hat; scarf; cloth; clothes; clothing; garment
哀,428,pathetic,top hat; scarf; mouth
遠,429,distant,earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf; road
猿,430,monkey,pack of wild dogs; earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf
初,431,first time,cloak; sword; dagger
巾,432,towel,
布,433,linen,by one’s side; towel
帆,434,sail,towel; mediocre; drop; wind
幅,435,hanging scroll,towel; wealth; one; ceiling; mouth; rice field; brains
帽,436,cap,towel; risk; sun; day; eye
幕,437,curtain,graveyard; flowers; sun; day; large; St. Bernard; towel
幌,438,canopy,towel; limpid; sun; day; ray; small; little; human legs
錦,439,brocade,metal; gold; napkin; white; dove; towel
市,440,market,top hat; towel
柿,441,persimmon,tree; wood; market; top hat; towel
姉,442,elder sister,woman; market; top hat; towel
肺,443,lungs,moon; month; flesh; part of the body; market; top hat; towel
帯,444,sash,buckle; apron; crown; towel
滞,445,stagnate,water; water droplets; water pistol; sash; buckle; apron; crown; towel
刺,446,thorn,tree; wood; belt; sword; sabre; saber
制,447,system,cow; belt; sword; sabre; saber
製,448,made in...,made in…; system; cow; belt; sword; sabre; saber; hat; scarf; cloth; clothes; clothing; garment
転,449,revolve,car; rising cloud; two; elbow; wall
芸,450,technique,flowers; rising cloud; two; elbow; wall
雨,451,rain,weather
雲,452,cloud,rain; weather; rising cloud; two; elbow; wall
曇,453,cloudy weather,sun; day; cloud; rain; weather; rising cloud; two; elbow; wall
雷,454,thunder,rain; weather; rice field; brains
霜,455,frost,rain; weather; inter; Inter Milan; tree; wood; eye
冬,456,winter,walking legs; ice
天,457,heavens,one; ceiling; large
妖,458,bewitched,woman; sapling
沃,459,irrigate,water; water droplets; water pistol; sapling
橋,460,bridge,tree; wood; angel; heavens; mouth; hood; mouth
嬌,461,attractive,woman; angel; heavens; mouth; hood; mouth
立,462,stand up,vase
泣,463,cry,water; water droplets; water pistol; vase; stand up
章,464,badge,vase; stand up; sunflower; early; sun; day; ten; needle
競,465,vie,vase; stand up; elder brother; teenager; mouth; human legs
帝,466,sovereign,vase; stand up; apron; crown; towel
諦,467,renunciation,say; words; keitai; mouth; sovereign; vase; stand up; apron; crown; towel
童,468,juvenile,vase; stand up; computer
瞳,469,pupil,eye; juvenile; vase; stand up; computer
鐘,470,bell,metal; gold; juvenile; vase; stand up; computer
商,471,make a deal,vase; stand up; alien; hood; human legs; mouth
嫡,472,legitimate wife,woman; antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth
適,473,suitable,antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth; road
滴,474,drip,water; water droplets; water pistol; antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth
敵,475,enemy,antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth; taskmaster
匕,476,spoon,sitting on the ground
叱,477,scold,mouth; diced; seven; spoon; sitting on the ground
匂,478,aroma,bound up; spoon; sitting on the ground
頃,479,about that time,spoon; sitting on the ground; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight
北,480,north,spoon; sitting on the ground
背,481,stature,north; spoon; sitting on the ground; moon; month; flesh; part of the body
比,482,compare,spoon; sitting on the ground
昆,483,descendants,sun; day; compare; spoon; sitting on the ground
皆,484,all,compare; spoon; sitting on the ground; white; dove
楷,485,block letters,
諧,486,orderliness,
混,487,mix,water; water droplets; water pistol; descendants; sun; day; compare; spoon; sitting on the ground
渇,488,thirst,water; water droplets; water pistol; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground
謁,489,audience,say; words; keitai; mouth; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground
褐,490,brown,cloak; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground
喝,491,hoarse,mouth; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground
葛,492,kudzu,flowers; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground
旨,493,delicious,spoon; sitting on the ground; sun; day
脂,494,fat,moon; month; flesh; part of the body; delicious; spoon; sun; day
詣,495,visit a shrine,say; words; keitai; mouth; delicious; spoon; sitting on the ground; sun; day
壱,496,I (one),1 (one); samurai; crown; spoon; sitting on the ground
毎,497,every,reclining; lying down; mother
敏,498,cleverness,every; reclining; lying down; mother; breasts; taskmaster
梅,499,plum,tree; wood; every; reclining; lying down; mother; breasts
海,500,sea,water; water droplets; water pistol; every; reclining; lying down; mother; breasts
乞,501,beg,reclining; lying down; fishhook
乾,502,drought,mist; ten; needle; early; sun; day; beg; reclining; lying down; fishhook
