kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
畑,1645,田,9,3,farm,,はた、はたけ
肌,1646,肉,6,S,texture,,はだ
八,1647,八,2,1,eight,ハチ,や、や-つ、やっ-つ、（よう）
鉢,1648,金,13,S,bowl,ハチ、（ハツ）,
発,1649,癶,9,3,departure,ハツ、ホツ,
髪,1650,髟,14,S,hair of the head,ハツ,かみ
伐,1651,人,6,S,fell,バツ,
抜,1652,手,7,S,slip out,バツ,ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる
罰,1653,网,14,S,penalty,バツ、バチ,
閥,1654,門,14,S,clique,バツ,
反,1655,又,4,3,anti-,ハン、（ホン）、（タン）,そ-る、そ-らす
半,1656,十,5,2,half,ハン,なか-ば
氾,1657,水,5,S,spread out,ハン,
犯,1658,犬,5,5,crime,ハン,おか-す
帆,1659,巾,6,S,sail,ハン,ほ
汎,1660,水,6,S,pan-,ハン,
伴,1661,人,7,S,consort,ハン、バン,ともな-う
判,1662,刀,7,5,judge,ハン、バン,
坂,1663,土,7,3,slope,ハン,さか
阪,1664,阜,7,4,heights,ハン,
板,1665,木,8,3,board,ハン、バン,いた
版,1666,片,8,5,printing block,ハン,
班,1667,玉,10,6,squad,ハン,
畔,1668,田,10,S,paddy-ridge,ハン,
般,1669,舟,10,S,generally,ハン,
販,1670,貝,11,S,marketing,ハン,
斑,1671,文,12,S,blemish,ハン,
飯,1672,食,12,4,meal,ハン,めし
搬,1673,手,13,S,conveyor,ハン,
煩,1674,火,13,S,anxiety,ハン、（ボン）,わずら-う、わずら-わす
頒,1675,頁,13,S,partition,ハン,
範,1676,竹,15,S,pattern,ハン,
繁,1677,糸,16,S,luxuriant,ハン,
藩,1678,艸,18,S,clan,ハン,
晩,1679,日,12,6,nightfall,バン,
番,1680,田,12,2,one's turn,バン,
蛮,1681,虫,12,S,barbarian,バン,
盤,1682,皿,15,S,tray,バン,
比,1683,比,4,5,compare,ヒ,くら-べる
皮,1684,皮,5,3,skin,ヒ,かわ
妃,1685,女,6,S,queen,ヒ,
否,1686,口,7,6,negate,ヒ,いな
批,1687,手,7,6,criticism,ヒ,
彼,1688,彳,8,S,he,ヒ,かれ、（かの）
披,1689,手,8,S,expose,ヒ,
肥,1690,肉,8,5,fertilizer,ヒ,こ-える、こえ、こ-やす、こ-やし
非,1691,非,8,5,negative,ヒ,
卑,1692,十,9,S,lowly,ヒ,いや-しい、いや-しむ、いや-しめる
飛,1693,飛,9,4,fly,ヒ,と-ぶ、と-ばす
疲,1694,疒,10,S,exhausted,ヒ,つか-れる
秘,1695,示,10,6,secret,ヒ,ひ-める
被,1696,衣,10,S,incur,ヒ,こうむ-る
